Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,76111,Toon,Aerts,,0:58:40,,127.50806125669,117.73189829971,
Men Elite,2,174015,Thibau,Nys,,0:58:40,,141.99153370151,120.37919617633,
Men Elite,3,161704,Joran,Wyseure,,0:58:43,,131.16368574513,123.02649405295,
Men Elite,4,159496,Pim,Ronhaar,,0:58:44,,142.36912749352,125.67379192957,
Men Elite,5,153653,Cameron,Mason,,0:58:44,,152.14677069578,128.32108980619,
Men Elite,6,174023,Emiel,Verstrynge,,0:58:52,,133.07805733663,130.96838768282,
Men Elite,7,146964,Mees,Hendrikx,,0:59:05,,159.76457595462,133.61568555944,
Men Elite,8,184957,Jente,Michels,,0:59:13,,146.9912991231,136.26298343606,
Men Elite,9,155096,Felipe,Orts lloret,,0:59:17,,145.6935670564,138.91028131268,
Men Elite,10,36284,Michael,Vanthourenhout,,0:59:22,,134.90571020246,141.5575791893,
Men Elite,11,36277,Laurens,Sweeck,,0:59:27,,138.4608088305,144.20487706592,
Men Elite,12,22180,Lars,Van der haar,,0:59:38,,131.05468005104,146.85217494254,
Men Elite,13,147003,Filippo,Fontana,,0:59:58,,166.13844352893,149.49947281916,
Men Elite,14,155332,Michael,Boroš,,1:00:17,,165.18191558797,152.14677069578,
Men Elite,15,91571,Joris,Nieuwenhuis,,1:00:30,,120.62876694308,154.7940685724,
Men Elite,16,146962,Ryan,Kamp,,1:00:39,,155.50614010236,157.44136644902,
Men Elite,17,25979,David,Menut,,1:00:51,,167.31860417087,160.08866432565,
Men Elite,18,116009,Kevin,Kuhn,,1:01:05,,144.75065181942,162.73596220227,
Men Elite,19,162781,Théo,Thomas,,1:01:17,,171.53866036345,165.38326007889,
Men Elite,20,76451,Kevin,Suarez fernandez,,1:02:07,,186.31690169006,168.03055795551,
Men Elite,21,144667,Niels,Vandeputte,,1:02:27,,130.4639253702,170.67785583213,
Men Elite,22,146996,Federico,Ceolin,,1:03:32,,192.13959271373,173.32515370875,
Men Elite,23,150528,David,Risberg,,1:05:16,,221.5923083245,175.97245158537,
Men Elite,24,184959,Danny,Van lierop,,1:06:09,,187.42793493829,178.61974946199,
Men Elite,25,178643,Luca,Harter,,1:07:03,,205.77891723344,181.26704733861,
Men Elite,26,196589,Dovydas,Lukšas,,,,267.25447873269,183.91434521523,
Men Elite,26,215997,Xavier,Jove riart,,DNS,,220,186.56164309186,
Men Junior,1,229633,Filippo,Grigolini,,0:38:50,,257.77958634697,210.87116278786,
Men Junior,2,230056,Patrik,Pezzo rosola,,0:39:03,,246.68197513208,213.45876567712,
Men Junior,3,227529,Giel,Lejeune,,0:39:06,,239.78960130163,216.04636856637,
Men Junior,4,226833,Cas,Timmermans,,0:39:17,,232.13801994387,218.63397145563,
Men Junior,5,238294,Delano,Heeren,,0:39:39,,332.79361870012,221.22157434488,
Men Junior,6,229590,Michael,Hettegger,,0:40:12,,278.61858409816,223.80917723414,
Men Junior,7,230089,Noël,Goijert,,0:40:20,,258.81871663332,226.39678012339,
Men Junior,8,227532,Jari,Van lee,,0:40:30,,261.61277882958,228.98438301265,
Men Junior,9,237547,Kai,Van hoof,,0:40:40,,293.41128401805,231.5719859019,
Men Junior,10,238295,Victor,Devos,,0:40:50,,281.38251360351,234.15958879116,
Men Junior,11,237550,Loek,Hovers,,0:40:54,,300.14513728232,236.74719168042,
Men Junior,12,237551,Jop,Van den biggelaar,,0:41:02,,281.09395431324,239.33479456967,
Men Junior,13,227530,Arthur,Janssens,,0:41:05,,316.51933942446,241.92239745893,
Men Junior,14,229483,Soen,Le pann,,0:41:06,,263.13571024573,244.51000034818,
Men Junior,15,229482,Soren,Bruyere joumard,,0:41:07,,221.83179667907,247.09760323744,
Men Junior,16,229588,Antonín,John,,0:41:15,,269.26868553271,249.68520612669,
Men Junior,17,239362,Milan,HÚSENICA,,0:41:16,,262.18313357075,252.27280901595,
Men Junior,18,229592,Benedek,Berencsi,,0:41:17,,318.59300332133,254.8604119052,
Men Junior,19,230046,Michal,ŠICHTA,,0:41:28,,272.36801453224,257.44801479446,
Men Junior,20,240640,Axel,Martineau,,0:41:28,,285.89942024272,260.03561768372,
Men Junior,21,238293,Emiel,Osaer,,0:41:43,,271.46180942813,262.62322057297,
Men Junior,22,237549,Bas,Vanden eynde,,0:41:51,,278.44732128611,265.21082346223,
Men Junior,23,229484,Caliste,Chainel,,0:42:04,,298.74724329917,267.79842635148,
Men Junior,24,228387,Kacper,Mizuro,,0:42:14,,291.54073608909,270.38602924074,
Men Junior,25,226834,David,Svoboda,,0:42:19,,267.30978797454,272.97363212999,
Men Junior,26,240745,Tommaso,Cingolani,,0:42:20,,295.97081558057,275.56123501925,
Men Junior,27,240746,Walter,Vaglio,,0:42:27,,304.67206201397,278.1488379085,
Men Junior,28,240126,Johannes,BRÆDSTRUP-HOLM,,0:42:31,,346.89336073327,280.73644079776,
Men Junior,29,227387,Jacob,Steed,,0:42:39,,288.58269184475,283.32404368702,
Men Junior,30,238298,Iraklis,Magioglou,,0:42:44,,310.57782900219,285.91164657627,
Men Junior,31,226832,Lars,Corsus,,0:42:51,,264.68814225962,288.49924946553,
Men Junior,32,237445,Luke,Trafford,,0:42:52,,279.26027380285,291.08685235478,
Men Junior,33,238885,Tadeáš,RYBANSKÝ,,0:43:01,,281.58253886528,293.67445524404,
Men Junior,34,226835,Thomas,Verdonck,,0:43:01,,285.66817469914,296.26205813329,
Men Junior,35,237851,Josh,Tietjen,,0:43:02,,295.20019038821,298.84966102255,
Men Junior,36,229519,Samuel,Castiello diaz,,0:43:10,,279.52004862692,301.43726391181,
Men Junior,37,229517,Martin,Fernandez garcia,,0:43:16,,272.15166519726,304.02486680106,
Men Junior,38,226856,Brent,Lippens,,0:43:22,,293.68341308064,306.61246969032,
Men Junior,39,231720,Herlen,Kajo,,0:43:30,,322.42857142857,309.20007257957,
Men Junior,40,226939,Gian,Fuhrmann,,0:43:31,,293.66549740744,311.78767546883,
Men Junior,41,238297,Ben,Fleming,,0:43:31,,344.78859115885,314.37527835808,
Men Junior,42,226842,Luca,Fesenmeier ,,0:43:31,,364.17771445226,316.96288124734,
Men Junior,43,230021,Sebastian,Suppi,,0:43:42,,323.36874770477,319.55048413659,
Men Junior,44,237870,Melvin,PÅLSSON GUSTAFSSON,,0:43:42,,364.06684091041,322.13808702585,
Men Junior,45,227378,Jody,Mills,,0:43:51,,332.66070466065,324.72568991511,
Men Junior,46,230619,Mathias,Petersen,,0:43:57,,371.76494278409,327.31329280436,
Men Junior,47,240147,Elias,Vonbach,,0:43:59,,311.92657913894,329.90089569362,
Men Junior,48,239821,Villads,Nyegaard,,0:43:59,,324.67754723513,332.48849858287,
Men Junior,49,238443,Nick,Knechtle,,0:44:11,,367.38496820566,335.07610147213,
Men Junior,50,230590,João,VIGÁRIO,,0:44:11,,292.65943088961,337.66370436138,
Men Junior,51,238882,Jakub,PANUŠ,,0:44:18,,294.58061690751,340.25130725064,
Men Junior,52,229555,Hugo,Ramalho,,0:44:34,,338.98814826857,342.83891013989,
Men Junior,53,206828,Magnus,Dollerup,,0:44:41,,369.87602984038,345.42651302915,
Men Junior,54,239299,Pelayo,Gancedo corrales,,0:44:53,,333.81829880615,348.01411591841,
Men Junior,55,239811,Michal,Struzik,,0:44:57,,314.38793400194,350.60171880766,
Men Junior,56,228605,Paul,Goux,,0:44:58,,289.19439245299,353.18932169692,
Men Junior,57,239364,Jerguš,MELICHERČÍK,,0:45:34,,285.37281838589,355.77692458617,
Men Junior,58,233431,Martynas,Medelinskas,,0:46:04,,349.22853972146,358.36452747543,
Men Junior,59,238880,Tadeáš,Pazourek,,0:46:12,,273.20344648281,360.95213036468,
Men Junior,60,241352,Lukas,Skikas,,0:46:50,,333,363.53973325394,
Men Junior,61,231697,Dawson,Fehlen pereira,,0:48:22,,388.29355630278,366.12733614319,
Men Junior,62,241712,Maciej,Rogalski,,,,370,371.30254192171,
Men Junior,62,230617,Jens Aksel,Jorde,,DNF,,327.76960655712,368.71493903245,
Men Junior,63,239822,Niklas,Lond,,DNS,,366.84385568816,373.89014481096,
Men Under 23,1,219925,Mattia,Agostinacchio,,0:53:15,,213.92580396471,154.7477329983,
Men Under 23,2,202059,David,Haverdings,,0:53:32,,176.60295153178,157.13098149078,
Men Under 23,3,196597,Kay,De bruyckere,,0:53:35,,168.09881236352,159.51422998327,
Men Under 23,4,196982,Romain,Debord,,0:53:35,,183.21480261294,161.89747847575,
Men Under 23,5,201994,Václav,Ježek,,0:53:38,,186.35071526103,164.28072696824,
Men Under 23,6,212237,Aubin,Sparfel,,0:53:40,,166.36052129367,166.66397546072,
Men Under 23,7,202394,Viktor,Vandenberghe,,0:53:42,,176.71698640243,169.04722395321,
Men Under 23,8,202064,Guus,Van den eijnden,,0:53:44,,161.67080466031,171.4304724457,
Men Under 23,9,103718,Alexis,David,,0:53:47,,214.73728754603,173.81372093818,
Men Under 23,10,202402,Sil,De brauwere,,0:53:56,,185.52430794138,176.19696943067,
Men Under 23,11,196784,Raul,Mira bonastre,,0:54:06,,195.15016964351,178.58021792315,
Men Under 23,12,213267,Stefano,Viezzi,,0:54:19,,179.92449081889,180.96346641564,
Men Under 23,13,196599,Kenay,De moyer,,0:54:42,,179.21793293971,183.34671490812,
