Category Name,Place,RacerID,First Name,Last Name,Team Name,Time,License,Carried Points,Scored Points,
Men Elite,1,100271,Eli,Iserbyt,PAUWELS SAUZEN - CIBEL CLEMENTINES,0:57:03,,151.97352792351,125.32634673706,
Men Elite,2,159496,Pim,Ronhaar,BALOISE GLOWI LIONS,0:57:28,,128.36234423976,128.70956334431,
Men Elite,3,174023,Emiel,Verstrynge,CRELAN-CORENDON,0:57:37,,151.72736821083,132.09277995156,
Men Elite,4,76111,Toon,Aerts,DESCHACHT- HENS-FSP,0:57:51,,148.98866651269,135.47599655881,
Men Elite,5,174015,Thibau,Nys,BALOISE GLOWI LIONS,0:58:39,,141.61224787787,138.85921316605,
Men Elite,6,184957,Jente,Michels,,0:58:41,,153.1434148823,142.2424297733,
Men Elite,7,129684,Toon,Vandebosch,CRELAN-CORENDON,0:59:02,,145.98815353769,145.62564638055,
Men Elite,8,153653,Cameron,Mason,SEVEN RACING,0:59:10,,164.0582878264,149.0088629878,
Men Elite,9,155332,Michael,Boroš,,0:59:47,,173.20161916948,152.39207959504,
Men Elite,10,144674,Anton,Ferdinande,,1:00:14,,213.02702241889,155.77529620229,
Men Elite,11,76074,Daan,Soete,RIDLEY  RACING  TEAM,1:00:23,,171.82208612533,159.15851280954,
Men Elite,12,22194,Corne,Van kessel,DESCHACHT- HENS-FSP,1:00:44,,182.31704725139,162.54172941679,
Men Elite,13,22212,Tom,Meeusen,,1:00:48,,185.14823324374,165.92494602403,
Men Elite,14,147010,Sander,De vet,,1:01:16,,183.37280643021,169.30816263128,
Men Elite,15,162800,Damien,Beton,,1:01:36,,179.21726775546,172.69137923853,
Men Elite,16,178416,Lars,Sommer,HEIZOMAT RADTEAM P/B HERRMANN,1:01:56,,183.25594764197,176.07459584578,
Men Elite,17,161955,Gunnar,Holmgren,,1:02:08,,190.71212027663,179.45781245302,
Men Elite,18,121596,Mathijs,Wuyts,,1:02:18,,186.22424566752,182.84102906027,
Men Elite,19,22179,Wietse,Bosmans,,1:03:40,,220,186.22424566752,
Men Elite,20,174014,Ward,Huybs,BALOISE GLOWI LIONS,1:03:48,,156.63353467191,189.60746227477,
Men Elite,21,22521,Curtis,White,,1:03:57,,185.30230404954,192.99067888201,
Men Elite,22,174019,Yorben,Lauryssen,PAUWELS SAUZEN - CIBEL CLEMENTINES,1:04:00,,174.51531209644,196.37389548926,
Men Elite,23,108478,Robin,Alderweireld,,1:04:24,,203.85675113743,199.75711209651,
Men Elite,24,162819,Florian,Gaillard,,1:05:13,,247.59074434683,203.14032870376,
Men Elite,25,175353,Daniel,Barnes,,-2 LAPS,,188.87393730366,206.523545311,
Men Elite,26,175352,Simon,Wyllie,,-2 LAPS,,222.39119082663,209.90676191825,
Men Elite,27,30413,Cody,Scott,COMPETITIVE EDGE RACING,-2 LAPS,,225.71295813253,213.2899785255,
Men Elite,28,180523,Ruben,Lembrechts,,-3 LAPS,,246.0628672518,216.67319513275,
Men Elite,29,120964,Cai,Davies,,-3 LAPS,,220,220.05641173999,
Men Elite,30,222752,Kévin,Blanpain,,-3 LAPS,,227.17038213224,223.43962834724,
Men Elite,31,207362,Sebastian,Zimmer,,-3 LAPS,,220,226.82284495449,
Men Elite,32,218909,Sjoerd,Van de mortel,,-3 LAPS,,220,230.20606156174,
Men Elite,33,212750,Frederik,Scheske,,-3 LAPS,,263.01312182539,233.58927816898,
Men Elite,34,225811,Albert,Gathemann,,-4 LAPS,,208.20483815712,236.97249477623,
Men Elite,35,207364,Fabian,Huwiler,,-4 LAPS,,284.77719987762,240.35571138348,
Men Elite,36,196589,Dovydas,Lukšas,,-4 LAPS,,279.67341512209,243.73892799073,
Men Elite,36,212391,William,Lezard,,DNF,,296.00400410336,247.12214459797,
Men Junior,1,220838,Arthur,Van den boer,,0:42:02,,246.73119698822,214.97896118554,
Men Junior,2,219722,Kryštof,BAŽANT,,0:43:07,,243.66216112969,218.18099418852,
Men Junior,3,223287,Ryan,Laenen,,0:43:51,,297.57898601671,221.3830271915,
Men Junior,4,218295,Mats,Vanden eynde,,0:44:16,,239.16775776841,224.58506019449,
Men Junior,5,202708,Emilien,Belzile,,0:44:26,,268.35591665457,227.78709319747,
Men Junior,6,175722,Vilmer,Ekman,,0:44:44,,300.22455593315,230.98912620046,
Men Junior,7,218916,Stan,Van looy,,0:44:50,,305.7842234464,234.19115920344,
Men Junior,8,227532,Jari,Van lee,,0:44:56,,281.05684796636,237.39319220643,
Men Junior,9,120650,Benjamin,Bravman,,0:45:20,,265.79493870228,240.59522520941,
Men Junior,10,229588,Antonín,John,,0:45:27,,282.26333570512,243.79725821239,
Men Junior,11,226834,David,Svoboda,,0:45:30,,285.86873938753,246.99929121538,
Men Junior,12,189701,Evan,Moore,,0:45:36,,278.26574208539,250.20132421836,
Men Junior,13,220657,Thomas,Huitema,,0:45:38,,290.67516181783,253.40335722135,
Men Junior,14,218438,Luca,Bednarek,,0:45:51,,327.62594457319,256.60539022433,
Men Junior,15,144113,Dylan,Haynes,,0:45:59,,274.23587215215,259.80742322732,
Men Junior,16,218291,Lukáš,Kristl,,0:46:20,,275.52331751068,263.0094562303,
Men Junior,17,126347,Kian,Reid,,0:46:23,,313.05558030926,266.21148923328,
Men Junior,18,146062,Tristan,Taillefer,,0:46:27,,292.99435627423,269.41352223627,
Men Junior,19,229634,Vincenzo,Carosi,,0:46:42,,262.59206295899,272.61555523925,
Men Junior,20,159089,Garrett,Beshore,,0:46:55,,265.0135943649,275.81758824224,
Men Junior,21,231666,Leon,Atkins,,0:47:06,,291.74988192305,279.01962124522,
Men Junior,22,227536,Len,Geerts,,0:47:17,,336.75361852136,282.22165424821,
Men Junior,23,220642,Matteï,Cacault,,0:47:31,,308.72335272578,285.42368725119,
Men Junior,24,219176,Lars,De nys,,0:47:36,,346.26231430789,288.62572025418,
Men Junior,25,157195,Porter,Melvin,,0:47:49,,289.33721390905,291.82775325716,
Men Junior,26,226832,Lars,Corsus,,0:47:53,,300.29312877531,295.02978626014,
Men Junior,27,187694,Sagan,Goertz,,0:47:53,,309.70376264883,298.23181926313,
Men Junior,28,222175,Samuel,Greenwell,,0:47:54,,346.45266764569,301.43385226611,
Men Junior,29,149072,Ryan,Daly,,0:47:59,,353.40450580011,304.6358852691,
Men Junior,30,220845,Esteban,Gourgin,,0:48:03,,324.87181922476,307.83791827208,
Men Junior,31,162114,Luke,Ozment,,0:48:09,,308.42057661052,311.03995127507,
Men Junior,32,230471,Lorenz,Ivens,,0:48:10,,389.98310830526,314.24198427805,
Men Junior,33,226856,Brent,Lippens,,0:48:22,,352.56090827782,317.44401728103,
Men Junior,34,229641,Andrea,Tarallo,,0:48:25,,328.03989329729,320.64605028402,
Men Junior,35,218289,Tomáš,HÁJEK,,0:48:27,,283.52297051181,323.848083287,
Men Junior,36,125442,Kalen,Brown,,0:48:34,,287.21871410902,327.05011628999,
Men Junior,37,220678,Miles,Horner,,0:48:36,,385.40840380746,330.25214929297,
Men Junior,38,186819,Desmond,Mohr,,0:48:46,,289.35973441201,333.45418229596,
Men Junior,39,230090,Stan,Cuypers,,0:48:49,,378.32970218855,336.65621529894,
Men Junior,40,171334,Ethan,Brown,,0:48:49,,286.91399637486,339.85824830192,
Men Junior,41,233648,Shuntaro,Yamada,,0:49:05,,359.30128347211,343.06028130491,
Men Junior,42,224425,Ayato,Tajima,,0:49:15,,362.67801120584,346.26231430789,
Men Junior,43,102356,Jack,Bernhard,,0:49:17,,305.76260944873,349.46434731088,
Men Junior,44,222173,Mick,De keyser,,0:49:18,,375.39396317985,352.66638031386,
Men Junior,45,230091,Roan,Dresselaers,,0:49:26,,373.82333881953,355.86841331685,
Men Junior,46,202709,Fabrice,Dufresne,,0:49:31,,332.422722221,359.07044631983,
Men Junior,47,170569,Campbell,Mcconnell,,0:49:38,,299.16252035526,362.27247932281,
Men Junior,48,227378,Jody,Mills,,0:49:57,,365.60385575256,365.4745123258,
Men Junior,49,213380,Thayer,Ask,,0:50:07,,303.20665006942,368.67654532878,
Men Junior,50,219730,Tomáš,Meier,,0:50:20,,360.0858365465,371.87857833177,
Men Junior,51,218949,Seppe,Vanhout,,0:50:38,,418.31778140746,375.08061133475,
Men Junior,52,222176,Josse,Jacobs,,0:50:41,,362.08598609385,378.28264433774,
Men Junior,53,148524,Alec,Clements,,0:50:44,,323.46094002591,381.48467734072,
Men Junior,54,202711,Thomas,Deniger,,0:50:48,,372.80745250352,384.6867103437,
Men Junior,55,223892,Timo,De baets,,0:50:48,,417.81126872868,387.88874334669,
Men Junior,56,227381,Theo,Sandell,,0:50:52,,419.93740218205,391.09077634967,
Men Junior,57,219735,Eliáš,Hofman,,0:50:59,,362.49004285923,394.29280935266,
