Name,Team,Nat,
NYS Thibau,BALOISE GLOWI LIONS,BEL,
VANTHOURENHOUT Michael,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT,BEL,
VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,
NIEUWENHUIS Joris,RIDLEY RACING TEAM,NED,
SWEECK Laurens,CRELAN-CORENDON,BEL,
WYSEURE Joran,CRELAN-CORENDON,BEL,
ORTS LLORET Felipe,RIDLEY RACING TEAM,ESP,
RONHAAR Pim,BALOISE GLOWI LIONS,NED,
MASON Cameron,SEVEN RACING,GBR,
DEL GROSSO Tibor,ALPECIN-DECEUNINCK,NED,
KUHN Kevin,HEIZOMAT-CUBE,SUI,
STROHMEYER Andrew,CXD TREK BIKES,USA,
VAN AERT Wout,TEAM VISMA - LEASE A BIKE,BEL,
MICHELS Jente,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,
HENDRIKX Mees,HEIZOMAT-CUBE,NED,
MEIN Thomas,HOPE FACTORY RACING,GBR,
BERTOLINI Gioele,GUERCIOTTI,ITA,
DE BRUYCKERE Kay,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT,BEL,
CLARK Tyler,Caledon Hills Armada,CAN,
INGUANZO MACHO Gonzalo,DELIKIA-GINESTAR,ESP,
GABRIEL Timothé,TPM СХ ТЕАМ,FRA,
ZAKRAJSEK Dylan,COMPETITIVE EDGE RACING TEAM,USA,
ODA Hijiri,YOWAMUSHI.PADEL.CT,JPN,
SCOTT Cody,COMPETITIVE EDGE RACING,CAN,
HORNY Clement,BH-WALLONIE MTB TEAM,BEL,
FONTANA Filippo,C.S. CARABINIERI,ITA,
AGOSTINACCHIO Mattia,EF EDUCATION - EASYPOST OATLY,ITA,
COOTE Henry,USA National Team,USA,
MIRA BONASTRE Raul,SAX CC,ESP,
BISIAUX Léo,velo club riomois / decathlon cma cgm team,FRA,
SCAPPINI Samuele,Beltrami TSA Tre Colli,ITA,
DAVID Alexis,Amical Cycliste Bisontine,FRA,
CONAWAY Calvin,IGNITION P/B RIGD-LEITNER,USA,
HERRMANN Lukas,HEIZOMAT RADTEAM,GER,
JANSSEN Wout,CYCLIS - VAN DEN PLAS CYCLING TEAM,BEL,
LAURYSSEN Yorben,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT,BEL,
AGOSTINACCHIO Filippo,EF EDUCATION - EASYPOST OATLY,ITA,
FERDINANDE Anton,SHIFTING GEARS,BEL,
MARASCO Lorenzo,SEBMOTOBIKES CX TEAM,FRA,
GEVAERT Miles,TOMABEL-INOFEC CYCLINGTEAM,BEL,
BETTENDORFF Loïc,LEOPARD PRO CYCLING,LUX,
JAMIN Antoine,BH-WALLONIE MTB TEAM,BEL,
CAFUERI Tommaso,ASD DP66,ITA,
KUYPERS Gerben,CHARLES-LIÉGEOIS ROASTERY CX,BEL,
OBERTEICHER Matteo,PETER PANE NAGEL CX TEAM,GER,
HAMM Florian,RSV GARCHING,GER,
SHELTON Noah,BEAR CX,USA,
HEIGL Philipp,SU Bikestore.cc Team,AUT,
DELNOIJE Remon,TWC DE KEMPEN,NED,
BATES Rhett,Broad Street Off Road,CAN,
GASSNER Michael,RSV Moosburg,GER,
JUNGE Frederick,BROOM WAGON WORKS,USA,
DE LONGHI Lorenzo,Società Sportiva Sanfiorese,ITA,
BERNHARD Jack,FINKRAFT,USA,
SARGENT Liam,BROAD STREET,CAN,
VOLLMUTH Aidan,EuroCrossAcademy,USA,
ZANOLINI Alan,Ale Colnago Team,ITA,
LIENERT Patrik,ČEZ Cyklo Team Tábor,CZE,
GAMBORG Jonas Posselt,Aarhus MTB,DEN,
