Name,Team,Nat,
VAN DER HEIJDEN Inge,CRELAN-CORENDON,NED,
NORBERT RIBEROLLE Marion,CRELAN-CORENDON,BEL,
VAN ALPHEN Aniek,SEVEN RACING,NED,
CASASOLA Sara,FENIX-DECEUNINCK,ITA,
VAS Kata Blanka,TEAM SD WORX - PROTIME,HUN,
FOUQUENET Amandine,ARKEA - B&B HOTELS WOMAN,FRA,
BROUWERS Julie,CHARLES-LIÉGEOIS ROASTERY CX,BEL,
CLAUZEL Hélène,INDIVIDUEEL,FRA,
SCHREIBER Marie,TEAM SDWORX - PROTIME,LUX,
CARRIER Rafaelle,PIVOT CYCLE OTE,CAN,
RODRIGUEZ REVERT Sofia,SOPELA WOMEN'S TEAM,ESP,
BORELLO Carlotta,ASD DP66,ITA,
GONZALEZ BLANCO Lucia,NESTA - SKODA ALECAR CX TEAM,ESP,
GARIBOLDI Rebecca,ALE COLNAGO TEAM,ITA,
GUNSALUS Elizabeth,CCB P/B LEVINE LAW GROUP,USA,
PEETERS Jinse,DE CEUSTER - BOUWPUNT,BEL,
MOLENGRAAF Lauren,CHARLES-LIÉGEOIS ROASTERY CX,NED,
ZOERNER Lauren,COMPETITIVE EDGE RACING,USA,
KNOLL Nico,Cyclemeisters / Bow Cycle,CAN,
ESTERMANN Rebekka,VC Sursee / Grüter Hans AG,SUI,
HEIGL Nadja,KTM ALCHEMIST RACING TEAM,AUT,
CABACA Mae,Heizomat Cube,NED,
HURTELOUP Adèle,VELOPRO-ALPHAMOTORHOMES,FRA,
BRUCHNER Regina,VESZPREMI EGYETEMI SPORT CLUB,HUN,
BUDDE Kaija,Peter Pane Nagel CX Team,GER,
BARTHELS Maïté,CT ATERTDAUL,LUX,
VAN SINAEY Xaydee,CRELAN-CORENDON,BEL,
NEFF Jolanda,CANNONDALE FACTORY RACING,SUI,
LOPEZ BURGOS Ana,OSCENSE C.C.,ESP,
WENZEL Liv,HESS CYCLING TEAM,LUX,
GONZALEZ BLANCO Alicia,MOVISTAR TEAM WOMEN,ESP,
KRAHL Judith,HEIZOMAT RADTEAM P/B HERRMANN,GER,
DE BEER Jamie,TWC HET SNELLE WIEL BESTRONICS,NED,
SHIELDS Emily,KEN'S BIKE SHOP-,USA,
VERKERK Katja,CYNISCA CYCLING,CAN,
BURQUIER Line,A.S BIKE CROSSTEAM,FRA,
KALIS Bloeme,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,NED,
PERRON Dorothee,OTTAWA BICYCLE CLUB,CAN,
BORGHESI Letizia,AROMITALIA - BASSO BIKES - VAIANO,ITA,
MOORS Fleur,BALOISE GLOWI LIONS,BEL,
SONNEMANS Sara,WW SCHIJNDEL,NED,
BARTHELS Layla,CT ATERTDAUL,LUX,
MOS Anniek,BANKHUIS,NED,
TRUYEN Marthe,FENIX-DECEUNINCK,BEL,
DURAFFOURG Lauriane,A.S BIKE CROSSTEAM,FRA,
TAMBOSCO Ilaria,S.S.SanFiorese,ITA,
COPPENS Nette,DE CEUSTER-ACROG,BEL,
BAELE Lotte,DE CEUSTER - BOUWPUNT,BEL,
SANTIN Gaia,VELO CLUB SAN VENDEMIANO,ITA,
VIKOVÁ Hanka,Team Dukla Praha,CZE,
ZANGA Marta,KTM SPADA POWERED BY BRENTA BRAKES,ITA,
PAUL Stefanie,RSG HANNOVER,GER,
INGLIS Grace,$n/a$,GBR,
SCHÄTTI Michelle,VC WÄDENSWIL,SUI,
HOEFMANS Pem,DE CEUSTER-ACROG,NED,
DE RAEDEMAEKER Alexe,ESSEC CYCLING TEAM,BEL,
STEFFENHAGEN Diana,RSV SEEHEIM 1971,GER,
ROSSNER Larissa,VC ESCHENBACH,SUI,
CASASOLA Nadia,Bandiziol Cycling Team,ITA,
MICHELS Friederike,TUSPO WEENDE,GER,
JOZKOWICZ Maja,K.S. KLIF CHLAPOWO,POL,
SEDLÁČKOVÁ Veronika,Brilon Racing Team MB,CZE,
KNIJNENBURG Anne,VOLKER WESSELS CYCLING TEAM,NED,
BOND Jorja,CCB P/B LEVINE LAW GROUP,USA,
DE BRUYCKERE Xenna,DE CEUSTER-ACROG,BEL,
JIMENEZ VERA Y FRIAS Carla,CDF LAS LINDES,ESP,
SCHEVENELS Lies 'L,ESSEC CYCLING TEAM,BEL,
HUYBRECHTS Laure,ESSEC CYCLING TEAM,BEL,
DE VOS Nele,NEVER GIVE UP BY JOLIEN VERSCHUEREN,BEL,
ADAM Lucie,TEAM JMCX,FRA,
GADEMAN Sera,TEAM BIKE EMOTIONS,NED,
WILLEMS Meadow,OLANDA BASE/WATERSLEY,NED,
HINZ Katharina Julia,GROSSLADEN FIDLOCK RACING,GER,
VAN DER MEULEN Julia,AWV DE ZWALUWEN,NED,
LENFERINK Femke,AWV DE ZWALUWEN,NED,
KAY Anna,ESSEC CYCLING TEAM,GBR,
