Name,NAT,Team,
NYS Thibau,BEL,BALOISE GLOWI LIONS,
VANTHOURENHOUT Michael,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,
VANDEPUTTE Niels,BEL,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,
SWEECK Laurens,BEL,CRELAN-CORENDON,
NIEUWENHUIS Joris,NED,RIDLEY RACING TEAM,
WYSEURE Joran,BEL,CRELAN-CORENDON,
RONHAAR Pim,NED,BALOISE GLOWI LIONS,
ORTS LLORET Felipe,ESP,RIDLEY RACING TEAM,
DEL GROSSO Tibor,NED,ALPECIN-DECEUNINCK,
MASON Cameron,GBR,SEVEN RACING,
KUHN Kevin,SUI,HEIZOMAT - CUBE,
STROHMEYER Andrew,USA,CXD TREK BIKES,
HENDRIKX Mees,NED,HEIZOMAT - CUBE,
VANDEBOSCH Toon,BEL,CRELAN-CORENDON,
BOROŠ Michael,CZE,ELKOV KASPER,
MICHELS Jente,BEL,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,
BERTOLINI Gioele,ITA,GUERCIOTTI,
MEEUSSEN Witse,BEL,CRELAN-CORENDON,
JUNQUERA SAN MILLAN Mario,ESP,COQUE URIA E. C.,
CORSUS Yordi,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,
VAN DE PUTTE Victor,BEL,DESCHACHT-HENS CX TEAM,
CLARK Tyler,CAN,CALEDON HILLS ARMADA,
DE BRUYCKERE Kay,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,
INGUANZO MACHO Gonzalo,ESP,DELIKIA-GINESTAR,
GROSLAMBERT Martin,FRA,SEBMOTOBIKES CX TEAM,
TAKÁCS Zsombor,HUN,SUPERIOR RACING TEAM,
CEOLIN Federico,ITA,BIBIONE CYCLING TEAM,
FONTANA Filippo,ITA,C.S. CARABINIERI,
FIALA Matyáš,CZE,ČEZ CYKLO TEAM TÁBOR,
AGOSTINACCHIO Mattia,ITA,EF EDUCATION - EASYPOST OATLY,
SCOTT Cody,CAN,COMPETITIVE EDGE RACING,
HORNY Clement,BEL,BH-WALLONIE MTB TEAM,
LOOCKX Lander,BEL,UNIBET TIETEMA ROCKETS,
SIMON Jules,FRA,US METRO TRANSPORTS,
AGOSTINACCHIO Filippo,ITA,EF EDUCATION - EASYPOST OATLY,
FERDINANDE Anton,BEL,SHIFTING GEARS,
ANANIE Ugo,FRA,ARQUES CX TEAM,
SCAPPINI Samuele,ITA,BELTRAMI TSA TRE COLLI,
OERTZEN Max Heiner,GER,PETER PANE NAGEL CX TEAM,
BETON Damien,FRA,UNION CYCLISTE PÉLUSSIN,
CONAWAY Calvin,USA,IGNITION P/B RIGD-LEITNER,
REMIJN Senna,NED,ALPECIN- DECEUNINCK,
JANSSEN Wout,BEL,CYCLIS - VAN DEN PLAS CYCLING TEAM,
HERRMANN Lukas,GER,HEIZOMAT RADTEAM,
LAURYSSEN Yorben,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,
BARD Nicolas,SUI,LA PÉDALE BULLOISE,
BARNES Daniel,GBR,SPECTRA RACING P/B DAS,
KUYPERS Gerben,BEL,CHARLES-LIÉGEOIS ROASTERY CX,
SCOTT Tom,GBR,UTC BUTCHERBOX P/B PANDA PODIUM,
GEVAERT Miles,BEL,TOMABEL-INOFEC CYCLINGTEAM,
CAFUERI Tommaso,ITA,ASD DP66,
FERRI Tommaso,ITA,FAS AIRPORT SERVICES GUERCIOTTI,
JAMIN Antoine,BEL,BH-WALLONIE MTB TEAM,
AMEY Oscar,GBR,GREAT BRITAIN CYCLING TEAM,
COURCIER Thomas,FRA,SABLE SARTHE CYCLISME PDL,
REMONDET Valentin,FRA,A.S. BIKE CROSSTEAM,
ASKEY Ben,GBR,BACKSTEDT BIKE PERFORMANCE,
MARASCO Lorenzo,FRA,SEBMOTOBIKES CX TEAM,
GAILLARD Florian,FRA,ISSOIRE CYCLISME,
HEIGL Philipp,AUT,SU BIKESTORE.CC TEAM,
RECULEAU Nicolas,FRA,UCMV,
BATES Rhett,CAN,BROAD STREET OFF ROAD,
JUNGE Frederick,USA,BROOM WAGON WORKS,
DE LONGHI Lorenzo,ITA,SOCIETÀ SPORTIVA SANFIORESE,
SARGENT Liam,CAN,BROAD STREET,
BERNHARD Jack,USA,FINKRAFT,
KOCKELMANN Raphaël,LUX,SEBMOTOBIKES CX TEAM,
HÖDLMOSER Dominik,AUT,HRINKOW ADVARICS,
JANSE Stef,BEL,YOUNG CYCLING TALENT D&D,
ZANOLINI Alan,ITA,ALE COLNAGO TEAM,
RISBERG David,SWE,EVOLITE CYCLING CLUB,
VOLLMUTH Aidan,USA,EUROCROSSACADEMY,
LIENERT Patrik,CZE,ČEZ CYKLO TEAM TÁBOR,
GAMBORG Jonas Posselt,DEN,AARHUS MTB,
WESTOVER Finn,USA,TEAM BOOGER,
FRANK Patrick,USA,JAM / NCC,
TANGUY Louis,FRA,VC EVRON,
KAJI Tetsuki,JPN,OLANDA BASE/WATERSLEY,
LUKŠAS Dovydas,LTU,LITHUANIAN CX NATIONAL TEAM,
GUENTHER Beau,USA,JAM FUND,
RIJVERS Max,NED,RB ZELFBOUW UCT,
LEMBRECHTS Ruben,BEL,DLS INVIGO,
BRISEBOIS Remi,CAN,CYCLING CANADA,
