Name,NAT,Team,
VAN DER HEIJDEN Inge,NED,CRELAN-CORENDON,
NORBERT RIBEROLLE Marion,BEL,CRELAN-CORENDON,
VAN ALPHEN Aniek,NED,SEVEN RACING,
PIETERSE Puck,NED,ALPECIN-FENIX,
CASASOLA Sara,ITA,FENIX-DECEUNINCK,
ALVARADO Ceylin Del Carmen,NED,FENIX-DECEUNINCK,
VAS Kata Blanka,HUN,TEAM SD WORX - PROTIME,
CLAUZEL Hélène,FRA,INDIVIDUEEL,
SCHREIBER Marie,LUX,TEAM SDWORX - PROTIME,
BORELLO Carlotta,ITA,ASD DP66,
CARRIER Rafaelle,CAN,PIVOT CYCLE OTE,
GUNSALUS Elizabeth,USA,CCB P/B LEVINE LAW GROUP,
VAN ANROOIJ Shirin,NED,BALOISE TREK LIONS,
BRAMATI Lucia,ITA,STARCASINO CX TEAM,
VERDONSCHOT Laura,BEL,DE CEUSTER - BOUWPUNT,
PEETERS Jinse,BEL,DE CEUSTER - BOUWPUNT,
GARIBOLDI Rebecca,ITA,ALE COLNAGO TEAM,
PELLIZOTTI Giorgia,ITA,SOC. SPORT. SANFIORESE,
HARTOG Larissa,NED,ORANGE BABIES CYCLING TEAM,
MEGALE Anna,USA,COMP EDGE RACING,
CUSACK Lidia,USA,USA NATIONAL TEAM,
ZOERNER Lauren,USA,COMPETITIVE EDGE RACING,
MORICHON Anais,FRA,TEAM ARKEA,
ASELTINE Mia,USA,COMPETITIVE EDGE RACING,
CLAUZEL Perrine,FRA,SEBMOTOBIKES CX TEAM,
KAY Anna,GBR,ESSEC CYCLING TEAM,
ESTERMANN Rebekka,SUI,VC SURSEE / GRÜTER HANS AG,
FERRI Elisa,ITA,FAS AIRPORT SERVICES GUERCIOTTI,
WORST Annemarie,NED,CYCLOCROSS REDS,
STERN Léa,SUI,LYON SPRINT EVOLUTION,
KNOLL Nico,CAN,CYCLEMEISTERS / BOW CYCLE,
HEIGL Nadja,AUT,KTM ALCHEMIST RACING TEAM,
BIANCHI Elisa,ITA,FLANDRES LOVE - SPORTLAND,
CABACA Mae,NED,HEIZOMAT CUBE,
HURTELOUP Adèle,FRA,VELOPRO-ALPHAMOTORHOMES,
SARKISOV Alyssa,USA,USA NATIONAL TEAM,
BRUCHNER Regina,HUN,VESZPREMI EGYETEMI SPORT CLUB,
AZZETTI Nicole,ITA,ALE COLNAGO TEAM,
NEFF Jolanda,SUI,CANNONDALE FACTORY RACING,
SONNEMANN Lyllie,USA,USA NATIONAL TEAM,
SARKISOV Katherine,USA,CXD TREK BIKES,
DAY Elena,GBR,SPECTRA RACING P/B DAS,
MOORE Elly,CAN,CYCLING CANADA,
PANUŠOVÁ Anna,CZE,BRILON RACING TEAM MB,
HAVILAND Alexa,CAN,CYCLING CANADA,
WONG Esther,IRL,SHIBDEN CYCLING CLUB,
PETITGIRARD Marlène,FRA,VC ORNANS,
LOPEZ BURGOS Ana,ESP,OSCENSE C.C.,
HLADÍKOVÁ Kateřina,CZE,BRILON RACING TEAM,
WENZEL Liv,LUX,HESS CYCLING TEAM,
GOTTWALDOVÁ Amálie,CZE,CP TEAM,
KRAHL Judith,GER,HEIZOMAT RADTEAM P/B HERRMANN,
GLAUS Jana,SUI,VC ESCHENBACH/ ROSE BIKE SCHWEIZ FACTORY RACING TEAM,
PERUTA Sara,ITA,ALE COLNAGO TEAM,
MULLINS Kira,USA,BEAR NATIONAL TEAM,
BURQUIER Line,FRA,A.S BIKE CROSSTEAM,
DAUME Graden,USA,EUROCROSSACADEMY,
VERKERK Katja,CAN,CYNISCA CYCLING,
NIELSEN Mille,DEN,WILLING ABLE RACING,
MOLNAR Hadley,USA,EUROCROSSACADEMY,
PERRON Dorothee,CAN,OTTAWA BICYCLE CLUB,
DE BEER Jamie,NED,TWC HET SNELLE WIEL BESTRONICS,
MACKINNON Claire,CAN,STIMULUS TREK,
BEEBE Tessa,USA,USA CYCLING ADP,
GUTIERREZ PEREZ Maria,ESP,BAIX TER WOMEN ACADEMY,
BORGHESI Letizia,ITA,AROMITALIA - BASSO BIKES - VAIANO,
BARTHELS Layla,LUX,CT ATERTDAUL,
INGLIS Hope,GBR,SPECTRA RACING P/B DAS,
OLESEN Anna,USA,EUROCROSSACADEMY,
HAUBER Clare,CAN,CYCLING CANADA,
SECCHI Giorgia,ITA,ASD WOMEN CYCLING PROJECT,
BAELE Lotte,BEL,DE CEUSTER - BOUWPUNT,
DE BRUYCKERE Xenna,BEL,DE CEUSTER-ACROG,
COPPENS Nette,BEL,DE CEUSTER-ACROG,
TRUYEN Marthe,BEL,FENIX-DECEUNINCK,
DEFOUR Lara,BEL,CYCLING TEAM JADE - LDL,
DETILLEUX Emeline,BEL,SCOTT CREUSE OXYGÈNE GUERET,
DENK Rosalie,AUT,RC ARBÖ SPARKASSE PERNITZ,
INGLIS Grace,GBR,N/A,
COLLING Alice,GBR,SMURFIT WESTROCK CYCLING TEAM,
NORRIS Annabelle,USA,EUROCROSSACADEMY,
MAHONEY Georgia,GBR,MAGSPEED RACING,
WHITESIDE Freya,IRL,NOUVELLES CYCLING X PRENDAS,
PIRINGER Johanna,AUT,RV DJ'S BIKESHOP SIMPLON HARD,
VIKOVÁ Hanka,CZE,TEAM DUKLA PRAHA,
CERMANOVÁ Antonie,CZE,BALOISE MINIMAX WB LADIES,
LEHMAN Stella,USA,EUROCROSSACADEMY,
VILLAR THIERY Faustine,FRA,EC CHATEAU THIERRY,
ZANGA Marta,ITA,KTM SPADA POWERED BY BRENTA BRAKES,
PERSSON Thea,SWE,KVÄNUM IF,
HOEFMANS Pem,NED,DE CEUSTER-ACROG,
DE RAEDEMAEKER Alexe,BEL,ESSEC CYCLING TEAM,
STEFFENHAGEN Diana,GER,RSV SEEHEIM 1971,
DELCOMMUNE Juline,BEL,TEAM WILINK BRUSSELS CYCLING,
PATTERSON Anna,GBR,IGNITE,
