Name,Team,NAT,YOB
VAN DER POEL Mathieu,ALPECIN-DECEUNINCK,NED,1995
NIEUWENHUIS Joris,RIDLEY RACING TEAM,NED,1996
VAN DER HAAR Lars,BALOISE GLOWI LIONS,NED,1991
RONHAAR Pim,BALOISE GLOWI LIONS,NED,2001
DEL GROSSO Tibor,ALPECIN-DECEUNINCK,NED,2003
KAMP Ryan,,NED,2000
HENDRIKX Mees,HEIZOMAT-CUBE,NED,2000
VAN LIEROP Danny,,NED,2003
DELNOIJE Remon,,NED,2001
RIJVERS Max,,NED,2006
JOCHEMS Jelte,,NED,2005
VANTHOURENHOUT Michael,PAUWELS SAUZEN-ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,1993
NYS Thibau,BALOISE GLOWI LIONS,BEL,2002
VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2000
AERTS Toon,DESCHACHT-HENS CX TEAM,BEL,1993
SWEECK Laurens,CRELAN-CORENDON,BEL,1993
VERSTRYNGE Emiel,CRELAN-CORENDON,BEL,2002
WYSEURE Joran,CRELAN-CORENDON,BEL,2001
VAN AERT Wout,TEAM VISMA LEASE A BIKE,BEL,1994
MICHELS Jente,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2003
VANDEBOSCH Toon,CRELAN-CORENDON,BEL,1999
MEEUSSEN Witse,CRELAN-CORENDON,BEL,2001
VAN DE PUTTE Victor,DESCHACHT-HENS CX TEAM,BEL,2002
FERDINANDE Anton,,BEL,2000
VAN GRIEKEN Stan,,BEL,2005
MAES Fabian,,BEL,2006
GROSLAMBERT Martin,SEBMOTOBIKES CX TEAM,FRA,2002
BOMMENEL Nathan,ACT CYCLING,FRA,2003
LELANDAIS Rémi,ARKEA-B&B HOTELS CONTINENTALE,FRA,2002
JOT Matéo,,FRA,2003
NAVARRO Quentin,,FRA,1998
DOS REIS GRACA Nathan,,FRA,2004
ORTS LLORET Felipe,RIDLEY RACING TEAM,ESP,1995
JUNQUERA SAN MILLAN Mario,UNICAJA-GIJON,ESP,1997
INGUANZO MACHO Gonzalo,,ESP,2001
SUAREZ FERNANDEZ Kevin,NESTA-MMR CYLING TEAM,ESP,1994
MIRA BONASTRE Raul,,ESP,2004
GALAN CORTAZAR Unax,,ESP,2006
ZAERA GISBERT Javier,,ESP,2003
GOMEZ VEGA Marcos,,ESP,2003
KUHN Kevin,HEIZOMAT-CUBE,SUI,1998
SOMMER Lars,,SUI,2002
ROUILLER Loris,AS BIKE RACING/FRANCE LITERIE,SUI,2000
BARD Nicolas,,SUI,2000
HALTER Nicolas,THOMUS AKROS-YOUNGSTARS,SUI,2006
MEIN Thomas,HOPE FACTORY RACING,GBR,1999
STROHMEYER Andrew,CXD TREK BIKES,USA,2002
VAN KEMPEN Jules,,USA,2002
ZAKRAJSEK Dylan,COMPETITIVE EDGE RACING,USA,2003
DRUMMOND Ryan,,USA,2006
COOTE Henry,TRINITY RACING,USA,2006
SHELTON Noah,,USA,2006
JUNGE Frederick,,USA,1996
KING Carden,,USA,2005
WESTOVER Finn,,USA,2006
MILANOVIC Nikolas,,USA,2007
HARTER Luca,,GER,2002
HERRMANN Lukas,,GER,2001
KUSCHLA Silas,,GER,2004
OBERTEICHER Matteo,PURE ENERGY DRINK/ HARO BIKES BY COREGO,GER,2001
HAMM Florian,,GER,1999
GABNER Michael,,GER,1999
RAUTZENBERG Robin,,GER,2000
CLARK Tyler,,CAN,2000
SCOTT Cody,COMPETITIVE EDGE RACING,CAN,2002
BATES Rhett,,CAN,2006
SARGENT Liam,,CAN,2004
BRISEBOIS Remi,,CAN,2006
BERTOLINI Gioele,ALE COLNAGO TEAM,ITA,1995
CEOLIN Federico,FAS AIRPORT SERVICES-GUERCIOTTI,ITA,2000
FONTANA Filippo,CS CARABINIERI-CICLI OLYMPIA,ITA,2000
SCAPPINI Samuele,SAM-VITALCARE-DYNATEK,ITA,2005
AGOSTINACCHIO Filippo,EF EDUCATION-EASYPOST-OATLY,ITA,2003
DE LONGHI Lorenzo,,ITA,2006
ZANOLINI Alan,ALE COLNAGO TEAM,ITA,2005
BOROŠ Michael,ELKOV KASPER,CZE,1992
JEŽEK Václav,BRILON RACING TEAM MB,CZE,2005
FIALA Matyáš,ATT INVESTMENTS,CZE,2003
KERL Maximilian,,CZE,2004
KRISTL Lukáš,BRILON RACING TEAM MB,CZE,2007
ODA Hijiri,MATRIX POWERTAG,JPN,1998
ENDO Kosuke,OLANDA BASE/WATERSLEY,JPN,2005
KAJI Tetsuki,OLANDA BASE/WATERSLEY,JPN,1999
OKAYAMA Yuta,OLANDA BASE/WATERSLEY,JPN,2001
GROENENDAAL Bailey,,DEN,2003
ROSENDAHL Karl-Erik,,DEN,2001
GAMBORG Jonas Posselt,,DEN,2006
TAKÁCS Zsombor,MBH BANK BALLAN CSB,HUN,2006
BRUYNSEELS Dries,BRUVO DUKLA BRATISLAVA,SVK,2001
RISBERG David,,SWE,1999
AASTRUP Vilmar,,SWE,2007
HEIGL Philipp,,AUT,1993
BETTENDORFF Loïc,HRINKOW ADVARICS,LUX,2001
PAPI Lennox,,LUX,2007
LUKŠAS Dovydas,,LTU,2002
NICHVOLODOV Artur,UKRAINE CYCLING TEAM,UKR,2006
TURNER Jacob,,NZL,2003
