Name,Team,NAT,YOB
BAKKER Manon,CRELAN-CORENDON,NED,1999
BRAND Lucinda,BALOISE GLOWI LIONS,NED,1989
VAN DER HEIJDEN Inge,CRELAN-CORENDON,NED,1999
VAN ALPHEN Aniek,SEVEN RACING,NED,1999
PIETERSE Puck,FENIX-DECEUNINCK,NED,2002
BENTVELD Leonie,PAUWELS SAUZEN-ALTEZ INDUSTRIEBOUW CYCLING TEAM,NED,2004
ALVARADO Ceylin del Carmen,FENIX-DECEUNINCK,NED,1998
BETSEMA Denise,DE CEUSTER-BOUWPUNT,NED,1993
HARTOG Larissa,,NED,2001
MOLENGRAAF Lauren,CHARLES LIEGEOIS ROASTERY CX,NED,2005
WORST Annemarie,SEVEN RACING,NED,1995
CABACA Mae,HEIZOMAT-CUBE,NED,2007
VAN ANROOIJ Shirin,BALOISE GLOWI LIONS,NED,2002
KALIS Bloeme,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,NED,2006
LANGENBARG Puck,FENIX-DECEUNINCK DEVELOPMENT TEAM,NED,2006
FOUQUENET Amandine,ARKEA-B&B HOTELS WOMAN,FRA,2001
CLAUZEL Hélène,,FRA,1998
GERY Célia,AS BIKE RACING/FRANCE LITERIE,FRA,2006
MULLER Amandine,AS BIKE RACING/FRANCE LITERIE,FRA,2006
GALLEZOT Electa,SEBMOTOBIKES CX TEAM,FRA,2004
CLAUZEL Perrine,SEBMOTOBIKES CX TEAM,FRA,1994
VALADE Alexandra,,FRA,2005
GARNIER Noemie,SCOTT CREUSE OXYGENE GUERET,FRA,2001
DURAFFOURG Lauriane,SCOTT CREUSE OXYGENE GUERET,FRA,2002
NORBERT RIBEROLLE Marion,CRELAN-CORENDON,BEL,1999
BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,BEL,2002
VERDONSCHOT Laura,DE CEUSTER-BOUWPUNT,BEL,1996
PEETERS Jinse,DE CEUSTER-BOUWPUNT,BEL,1999
CRABBÉ Kiona,,BEL,2001
VERVLOET Sterre,DESCHACHT-HENS CX TEAM,BEL,2003
DE SCHOESITTER Shanyl,PAUWELS SAUZEN-ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,2006
LAURIJSSEN Sanne,CRELAN-CORENDON,BEL,2007
MOORS Fleur,BALOISE GLOWI LIONS,BEL,2005
COPPENS Nette,,BEL,2004
BAELE Lotte,DE CEUSTER-BOUWPUNT,BEL,2003
SEYNAVE liken,DESCHACHT-HENS CX TEAM,BEL,2006
CASASOLA Sara,CRELAN-CORENDON,ITA,1999
BORELLO Carlotta,,ITA,2002
GARIBOLDI Rebecca,ALE COLNAGO TEAM,ITA,1996
BRAMATI Lucia,FAS AIRPORT SERVICES-GUERCIOTTI,ITA,2003
TAMBOSCO Ilaria,,ITA,2007
SECCHI Giorgia,,ITA,2004
SANTIN Gaia,,ITA,2005
CASASOLA Nadia,,ITA,2007
RODRIGUEZ REVERT Sofia,NESTA-MMR CYLING TEAM,ESP,1999
GONZALEZ BLANCO Lucia,NESTA-MMR CYLING TEAM,ESP,1990
CUETO VEGA Sara,UNICAJA-GIJON,ESP,1994
LOPEZ BURGOS Ana,,ESP,2007
GONZALEZ BLANCO Alicia,NESTA-MMR CYLING TEAM,ESP,1995
CARRIO HERNANDEZ Luna,UNICAJA-GIJON,ESP,2007
MCGILL Sidney,,CAN,1999
ROCHETTE Maghalie,,CAN,1993
CARRIER Rafaelle,ARKEA-B&B HOTELS WOMAN,CAN,2007
KNOLL Nico,,CAN,2007
VERKERK Katja,CYNISCA CYCLING,CAN,2003
PERRON Dorothee,,CAN,2006
JOZKOWICZ Maja,,POL,2006
GUNSALUS Elizabeth,,USA,2003
CUSACK Lidia,CXD TREK BIKES,USA,2007
ZOERNER Lauren,COMPETITIVE EDGE RACING,USA,2003
ASELTINE Mia,COMPETITIVE EDGE RACING,USA,2004
SARKISOV Alyssa,CXD TREK BIKES,USA,2007
SONNEMANN Lyllie,CXD TREK BIKES,USA,2007
BOND Jorja,CXD TREK BIKES,USA,2006
BRUCHNER Regina,,HUN,2006
BUDDE Kaija,PURE ENERGY DRINK/HARO BIKES BY COREGO,GER,2006
STEFFENHAGEN Diana,,GER,1985
MICHELS Friederike,RADSPORT NAGEL CX TEAM,GER,2006
PFEIL Julia-Katharina,,GER,1988
HINZ Katharina Julia,,GER,1997
HEIGL Nadja,KTM SPADA POWERED BY BRENTA BRAKES,AUT,1996
NIELSEN Mille,,DEN,2007
ZEMANOVÁ Kristýna,,CZE,2003
PANUŠOVÁ Anna,BRILON RACING TEAM MB,CZE,2006
HLADÍKOVÁ Katerina,BRILON RACING TEAM MB,CZE,2004
SEDLÁCKOVÁ Veronika,BRILON RACING TEAM MB,CZE,2007
CREES Xan,,GBR,2000
KAY Anna,VELOPRO-ALPHAMOTORHOMES,GBR,1999
STERN Léa,,SUI,2001
ESTERMANN Rebekka,,SUI,1999
NEFF Jolanda,CANNONDALE FACTORY RACING,SUI,1993
GLAUS Jana,,SUI,2005
SCHREIBER Marie,TEAM SD WORX-PROTIME,LUX,2003
BARTHELS Maïté,,LUX,2001
WENZEL Liv,SEBMOTOBIKES CX TEAM,LUX,2004
BARTHELS Layla,,LUX,2004
BERTON Nina,EF EDUCATION-EASYPOST-OATLY,LUX,2001
