Name,NAT,YOB,
NIEUWENHUIS Joris,NED,1996,
VAN DER HAAR Lars,NED,1991,
RONHAAR Pim,NED,2001,
DEL GROSSO Tibor,NED,2003,
KAMP Ryan,NED,2000,
HENDRIKX Mees,NED,2000,
VAN LIEROP Danny,NED,2003,
DELNOIJE Remon,NED,2001,
VANTHOURENHOUT Michael,BEL,1993,
VANDEPUTTE Niels,BEL,2000,
NYS Thibau,BEL,2002,
SWEECK Laurens,BEL,1993,
AERTS Toon,BEL,1993,
VERSTRYNGE Emiel,BEL,2002,
WYSEURE Joran,BEL,2001,
VAN AERT Wout,BEL,1994,
VANDEBOSCH Toon,BEL,1999,
MICHELS Jente,BEL,2003,
MEEUSSEN Witse,BEL,2001,
VAN DE PUTTE Victor,BEL,2002,
KUYPERS Gerben,BEL,2000,
GROSLAMBERT Martin,FRA,2002,
BOMMENEL Nathan,FRA,2003,
MENUT David,FRA,1992,
THOMAS Théo,FRA,2001,
GABRIEL Timothé,FRA,2002,
LELANDAIS Rémi,FRA,2002,
DOUBEY Fabien,FRA,1993,
ORTS LLORET Felipe,ESP,1995,
JUNQUERA SAN MILLAN Mario,ESP,1997,
INGUANZO MACHO Gonzalo,ESP,2001,
GOMEZ VEGA Marcos,ESP,2003,
KUHN Kevin,SUI,1998,
SOMMER Lars,SUI,2002,
BARD Nicolas,SUI,2000,
MASON Cameron,GBR,2000,
MEIN Thomas,GBR,1999,
STROHMEYER Andrew,USA,2002,
VAN KEMPEN Jules,USA,2002,
ZAKRAJSEK Dylan,USA,2003,
JUNGE Frederick,USA,1996,
FRANK Patrick,USA,2001,
HARTER Luca,GER,2002,
HERRMANN Lukas,GER,2001,
KÖPSEL Jonas,GER,2002,
LEIN Lennart,GER,2002,
CLARK Tyler,CAN,2000,
SCOTT Cody,CAN,2002,
BERTOLINI Gioele,ITA,1995,
CEOLIN Federico,ITA,2000,
AGOSTINACCHIO Filippo,ITA,2003,
VICINI Tito,ITA,2002,
BOROŠ Michael,CZE,1992,
FIALA Matyáš,CZE,2003,
ODA Hijiri,JPN,1998,
KAJI Tetsuki,JPN,1999,
OKAYAMA Yuta,JPN,2001,
GROENENDAAL Bailey,DEN,2003,
ROSENDAHL Karl-Erik,DEN,2001,
BRUYNSEELS Dries,SVK,2001,
RISBERG David,SWE,1999,
HEIGL Philipp,AUT,1993,
BETTENDORFF Loïc,LUX,2001,
LUKŠAS Dovydas,LTU,2002,
TURNER Jacob,NZL,2003,
