Name,NAT,YOB,
BRAND Lucinda,NED,1989,
VAN DER HEIJDEN Inge,NED,1999,
VAN ALPHEN Aniek,NED,1999,
BAKKER Manon,NED,1999,
PIETERSE Puck,NED,2002,
BENTVELD Leonie,NED,2004,
ALVARADO Ceylin del Carmen,NED,1998,
BETSEMA Denise,NED,1993,
VAN ANROOIJ Shirin,NED,2002,
MOLENGRAAF Lauren,NED,2005,
WORST Annemarie,NED,1995,
CABACA Mae,NED,2007,
KALIS Bloeme,NED,2006,
MOES Noï,NED,2007,
LANGENBARG Puck,NED,2006,
FOUQUENET Amandine,FRA,2001,
CLAUZEL Hélène,FRA,1998,
GERY Célia,FRA,2006,
MULLER Amandine,FRA,2006,
GALLEZOT Electa,FRA,2004,
DESPREZ Lison,FRA,2007,
VALADE Alexandra,FRA,2005,
BURQUIER Line,FRA,2003,
DURAFFOURG Lauriane,FRA,2002,
DEVIGNE Camille,FRA,2002,
NORBERT RIBEROLLE Marion,BEL,1999,
BROUWERS Julie,BEL,2002,
VERDONSCHOT Laura,BEL,1996,
PEETERS Jinse,BEL,1999,
CRABBÉ Kiona,BEL,2001,
VERVLOET Sterre,BEL,2003,
DE SCHOESITTER Shanyl,BEL,2006,
VAN SINAEY Xaydee,BEL,2005,
VAN DE STEENE Kim,BEL,1986,
DE BRUYCKERE Xenna,BEL,2005,
DETILLEUX Emeline,BEL,1999,
SEYNAVE Ilken,BEL,2006,
CASASOLA Sara,ITA,1999,
BORELLO Carlotta,ITA,2002,
BRAMATI Lucia,ITA,2003,
GARIBOLDI Rebecca,ITA,1996,
FERRI Elisa,ITA,2007,
BORGHESI Letizia,ITA,1998,
SECCHI Giorgia,ITA,2004,
RODRIGUEZ REVERT Sofia,ESP,1999,
GONZALEZ BLANCO Lucia,ESP,1990,
CUETO VEGA Sara,ESP,1994,
LOPEZ BURGOS Ana,ESP,2007,
GONZALEZ BLANCO Alicia,ESP,1995,
BETI PEREZ Marta,ESP,2004,
CARRIO HERNANDEZ Luna,ESP,2007,
JIMENEZ VERA Y FRIAS Carla,ESP,2007,
CARRIER Rafaelle,CAN,2007,
KNOLL Nico,CAN,2007,
VERKERK Katja,CAN,2003,
PERRON Dorothee,CAN,2006,
KELLY Siobhan,CAN,1996,
GUNSALUS Elizabeth,USA,2003,
MEGALE Anna,USA,1991,
CUSACK Lidia,USA,2007,
ZOERNER Lauren,USA,2003,
ASELTINE Mia,USA,2004,
MUSGRAVE Kaya,USA,2005,
SARKISOV Alyssa,USA,2007,
LOPEZ DE SAN ROMAN Vida,USA,2006,
SONNEMANN Lyllie,USA,2007,
SARKISOV Katherine,USA,2004,
SHIELDS Emily,USA,1993,
BOND Jorja,USA,2006,
BRUCHNER Regina,HUN,2006,
BUDDE Kaija,GER,2006,
WINDELBAND Tomke,GER,2006,
DEHLER Viktoria,GER,2002,
HEIGL Nadja,AUT,1996,
DENK Rosalie,AUT,2007,
LISBYGD Ann-Dorthe,DEN,1984,
NIELSEN Mille,DEN,2007,
ZEMANOVÁ Kristýna,CZE,2003,
DOUDEROVÁ Katerina,CZE,2006,
PANUŠOVÁ Anna,CZE,2006,
HLADÍKOVÁ Katerina,CZE,2004,
GOTTWALDOVÁ Amálie,CZE,2007,
BACKSTEDT Zoe,GBR,2004,
CREES Xan,GBR,2000,
DAY Elena,GBR,2004,
EYEINGTON Kacey,GBR,2005,
ESTERMANN Rebekka,SUI,1999,
STERN Léa,SUI,2001,
NEFF Jolanda,SUI,1993,
GLAUS Jana,SUI,2005,
SCHREIBER Marie,LUX,2003,
BARTHELS Maïté,LUX,2001,
WENZEL Liv,LUX,2004,
BARTHELS Layla,LUX,2004,
BERTON Nina,LUX,2001,
CHLADONOVÁ Viktória,SVK,2006,
PERSSON Thea,SWE,2007,
Elite Men,,,
