Name,Team,Nat,YOB
VAN DER POEL Mathieu,ALPECIN-DECEUNINCK,NED,1995
NIEUWENHUIS Joris,RIDLEY RACING TEAM,NED,1996
VAN DER HAAR Lars,BALOISE GLOWI LIONS,NED,1991
RONHAAR Pim,BALOISE GLOWI LIONS,NED,2001
DEL GROSSO Tibor,ALPECIN-DECEUNINCK,NED,2003
KAMP Ryan,-,NED,2000
HENDRIKX Mees,HEIZOMAT - CUBE,NED,2000
VAN LIEROP Danny,-,NED,2003
DELNOIJE Remon,-,NED,2001
RIJVERS Max,-,NED,2006
VANTHOURENHOUT Michael,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,BEL,1993
VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2000
NYS Thibau,BALOISE GLOWI LIONS,BEL,2002
SWEECK Laurens,CRELAN-CORENDON,BEL,1993
AERTS Toon,DESCHACHT-HENS CX TEAM,BEL,1993
VERSTRYNGE Emiel,CRELAN-CORENDON,BEL,2002
WYSEURE Joran,CRELAN-CORENDON,BEL,2001
VANDEBOSCH Toon,CRELAN-CORENDON,BEL,1999
MICHELS Jente,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2003
VAN DE PUTTE Victor,DESCHACHT-HENS CX TEAM,BEL,2002
VANDENBERGHE Viktor,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,BEL,2005
DE BRAUWERE Sil,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW,BEL,2005
JANSSEN Wout,-,BEL,2002
BOMMENEL Nathan,ACT CYCLING,FRA,2003
MENUT David,AS BIKE RACING / FRANCE LITERIE,FRA,1992
THOMAS Théo,SEBMOTOBIKES CX TEAM,FRA,2001
DEBORD Romain,AS BIKE RACING / FRANCE LITERIE,FRA,2004
LELANDAIS Rémi,ARKEA-B&B HOTELS CONTINENTALE,FRA,2002
LEQUET Corentin,ACT CYCLING,FRA,2004
ORTS LLORET Felipe,RIDLEY RACING TEAM,ESP,1995
JUNQUERA SAN MILLAN Mario,UNICAJA - GIJON,ESP,1997
INGUANZO MACHO Gonzalo,-,ESP,2001
MIRA BONASTRE Raul,-,ESP,2004
GOMEZ VEGA Marcos,-,ESP,2003
KUHN Kevin,HEIZOMAT - CUBE,SUI,1998
BARD Nicolas,-,SUI,2000
MASON Cameron,SEVEN RACING,GBR,2000
MEIN Thomas,HOPE FACTORY RACING,GBR,1999
STROHMEYER Andrew,CXD TREK BIKES,USA,2002
VAN KEMPEN Jules,-,USA,2002
ZAKRAJSEK Dylan,COMPETITIVE EDGE RACING,USA,2003
DRUMMOND Ryan,-,USA,2006
SHELTON Noah,-,USA,2006
JUNGE Frederick,-,USA,1996
KING Carden,-,USA,2005
BERNHARD Jack,-,USA,2007
VOLLMUTH Aidan,-,USA,2007
CLARK Tyler,-,CAN,2000
BATES Rhett,-,CAN,2006
SARGENT Liam,-,CAN,2004
BRISEBOIS Remi,-,CAN,2006
BERTOLINI Gioele,ALE COLNAGO TEAM,ITA,1995
FONTANA Filippo,CS CARABINIERI - CICLI OLYMPIA,ITA,2000
SCAPPINI Samuele,SAM - VITALCARE - DYNATEK,ITA,2005
CAFUERI Tommaso,UC TREVIGIANI ENERGIAPURA MARCHIOL,ITA,2005
DE LONGHI Lorenzo,-,ITA,2006
ZANOLINI Alan,ALE COLNAGO TEAM,ITA,2005
BOLZAN Edoardo,-,ITA,2004
BOROŠ Michael,ELKOV - KASPER,CZE,1992
ODA Hijiri,MATRIX POWERTAG,JPN,1998
ENDO Kosuke,OLANDA BASE/WATERSLEY,JPN,2005
KAJI Tetsuki,OLANDA BASE/WATERSLEY,JPN,1999
OKAYAMA Yuta,OLANDA BASE/WATERSLEY,JPN,2001
GROENENDAAL Bailey,-,DEN,2003
NIELSEN Daniel,DECATHLON AG2R LA MONDIALE DEVELOPMENT,DEN,2005
RISBERG David,-,SWE,1999
HEIGL Philipp,-,AUT,1993
LUKŠAS Dovydas,-,LTU,2002
NICHVOLODOV Artur,-,UKR,2006
TURNER Jacob,-,NZL,2003
