Name,Team,Nat,YOB
ALVARADO Ceylin,FENIX-DECEUNINCK,NED,1998
ASELTINE Mia,COMPETITIVE EDGE RACING,USA,2004
BAKKER Manon,CRELAN-CORENDON,NED,1999
BARTHELS Layla,-,LUX,2004
BARTHELS Maïté,-,LUX,2001
BENTVELD Leonie,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,NED,2004
BETSEMA Denise,DE CEUSTER - BOUWPUNT,NED,1993
BORELLO Carlotta,-,ITA,2002
BORGHESI Letizia,EF EDUCATION - OATLY,ITA,1998
BRAND Lucinda,BALOISE GLOWI LIONS,NED,1989
BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,BEL,2002
BRUCHNER Regina,-,HUN,2006
CABACA Mae,HEIZOMAT - CUBE,NED,2007
CARRIO HERNANDEZ Luna,UNICAJA-GIJON,ESP,2007
CHLADONOVÁ Viktória,TEAM VISMA | LEASE A BIKE,SVK,2006
CLAUZEL Hélène,-,FRA,1998
CRABBÉ Kiona,-,BEL,2001
CREES Xan,-,GBR,2000
CUETO VEGA Sara,UNICAJA-GIJON,ESP,1994
CUSACK Lidia,CXD TREK BIKES,USA,2007
DE BRUYCKERE Xenna,-,BEL,2005
DETILLEUX Emeline,SCOTT CREUSE OXYGENE GUERET,BEL,1999
DURAFFOURG Lauriane,SCOTT CREUSE OXYGENE GUERET,FRA,2002
ESTERMANN Rebekka,-,SUI,1999
FOUQUENET Amandine,ARKEA-B&B HOTELS WOMAN,FRA,2001
GALLEZOT Electa,SEBMOTOBIKES CX TEAM,FRA,2004
GARIBOLDI Rebecca,ALE COLNAGO TEAM,ITA,1996
GERY Célia,AS BIKE RACING/FRANCE LITERIE,FRA,2006
GLAUS Jana,-,SUI,2005
GONZALEZ BLANCO Alicia,NESTA - MMR CYLING TEAM,ESP,1995
GONZALEZ BLANCO Lucia,NESTA-MMR CYLING TEAM,ESP,1990
HARTOG Larissa,-,NED,2001
HEIGL Nadja,KTM SPADA POWERED BY BRENTA BRAKES,AUT,1996
HURTELOUP Adèle,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,FRA,2004
JIMENEZ VERA Y FRIAS Carla,-,ESP,2007
KAY Anna,VELOPRO-ALPHAMOTORHOMES,GBR,1999
KELLY Siobhan,-,CAN,1996
KNOLL Nico,-,CAN,2007
LISBYGD Ann-Dorthe,-,DEN,1984
LOPEZ DE SAN ROMAN Vida,TRINITY RACING,USA,2006
MEGALE Anna,COMPETITIVE EDGE RACING,USA,1991
MOES Noi,-,NED,2007
MOORS Fleur,BALOISE GLOWI LIONS,BEL,2005
MULLER Amandine,AS BIKE RACING/FRANCE LITERIE,FRA,2006
NEFF Jolanda,CANNONDALE FACTORY RACING,SUI,1993
NIELSEN Mille,-,DEN,2007
NORBERT RIBEROLLE Marion,CRELAN-CORENDON,BEL,1999
PEETERS Jinse,DE CEUSTER - BOUWPUNT,BEL,1999
PERRON Dorothee,-,CAN,2006
PIETERSE Puck,FENIX-DECEUNINCK,NED,2002
REYNOLDS Alicia,-,AUS,2008
RODRIGUEZ REVERT Sofia,NESTA - MMR CYLING TEAM,ESP,1999
SARKISOV Alyssa,CXD TREK BIKES,USA,2007
SARKISOV Katherine,CXD TREK BIKES,USA,2004
SECCHI Giorgia,-,ITA,2004
SEYNAVE Ilken,DESCHACHT-HENS CX TEAM,BEL,2006
SHIELDS Emily,-,USA,1993
SONNEMANN Lyllie,CXD TREK BIKES,USA,2007
SONNEMANS Sara,-,NED,2006
STERN Léa,-,SUI,2001
VAN ALPHEN Aniek,SEVEN RACING,NED,1999
VAN ANROOIJ Shirin,BALOISE GLOWI LIONS,NED,2002
VAN DE STEENE Kim,-,BEL,1986
VAN DER HEIJDEN Inge,CRELAN-CORENDON,NED,1999
VAN SINAEY Xaydee,CRELAN-CORENDON,BEL,2005
VAS Blanka,TEAM SD WORX - PROTIME,HUN,2001
VERDONSCHOT Laura,DE CEUSTER - BOUWPUNT,BEL,1996
VERVLOET Sterre,DESCHACHT-HENS CX TEAM,BEL,2003
