Name,Team,Nationality,YOB
AERTS Toon,DESCHACHT-HENS CX TEAM,BEL,1993
AGOSTINACCHIO Filippo,EF EDUCATION-EASYPOST-OATLY,ITA,2003
BARD Nicolas,—,SUI,2000
BOMMENEL Nathan,ACT CYCLING,FRA,2003
BOROŠ Michael,ELKOV-KASPER,CZE,1992
BRUYNSEELS Dries,BRUVO DUKLA BRATISLAVA,SVK,2001
CEOLIN Federico,FAS AIRPORT SERVICES - GUERCIOTTI,ITA,2000
CLARK Tyler,—,CAN,2000
DEL GROSSO Tibor,ALPECINDECEUNINCK-,NED,2003
FERDINANDE Anton,—,BEL,2000
FIALA Matyáš,ATT INVESTMENTS,CZE,2003
FONTANA Filippo,CS CARABINIERI - CICLI OLYMPIA,ITA,2000
GABNER Michael,—,GER,1999
GABRIEL Timothé,—,FRA,2002
GOMEZ VEGA Marcos,—,ESP,2003
GROENENDAAL Bailey,—,DEN,2003
GROSLAMBERT Martin,SEBMOTOBIKES CX TEAM,FRA,2002
HAMM Florian,—,GER,1999
HARTER Luca,—,GER,2002
HEIGL Philipp,—,AUT,1993
HENDRIKX Mees,HEIZOMAT - CUBE,NED,2000
HERRMANN Lukas,—,GER,2001
INGUANZO MACHO Gonzalo,—,ESP,2001
JUNGE Frederick,—,USA,1996
JUNQUERA SAN MILLAN Mario,UNICAJAGIJON,ESP,1997
KAJI Tetsuki,OLANDA BASE/WATERSLEY,JPN,1999
KAMP Ryan,—,NED,2000
KUHN Kevin,HEIZOMAT - CUBE,SUI,1998
LUKŠAS Dovydas,—,LTU,2002
MASON Cameron,SEVEN RACING,GBR,2000
MEEUSSEN Witse,CRELAN-CORENDON,BEL,2001
MEIN Thomas,HOPE FACTORY RACING,GBR,1999
MENUT David,AS BIKE RACING/FRANCE LITERIE,FRA,1992
OKAYAMA Yuta,OLANDA BASE/WATERSLEY,JPN,2001
ORTS LLORET Felipe,RIDLEY RACING TEAM,ESP,1995
RAUTZENBERG Robin,—,GER,2000
RISBERG David,—,SWE,1999
RONHAAR Pim,BALOISE GLOWI LIONS,NED,2001
SCOTT Cody,COMPETITIVE EDGE RACING,CAN,2002
SOMMER Lars,—,SUI,2002
STROHMEYER Andrew,CXD TREK BIKES,USA,2002
SUAREZ FERNANDEZ Kevin,NESTA-MMR CYLING TEAM,ESP,1994
SWEECK Laurens,CRELAN-CORENDON,BEL,1993
THOMAS Théo,SEBMOTOBIKES CX TEAM,FRA,2001
TURNER Jacob,—,NZL,2003
VAN DE PUTTE Victor,DESCHACHT-HENS CX TEAM,BEL,2002
VAN DER HAAR Lars,BALOISE GLOWI LIONS,NED,1991
VAN DER POEL Mathieu,ALPECINDECEUNINCK-,NED,1995
VAN KEMPEN Jules,—,USA,2002
VAN LIEROP Danny,—,NED,2003
VANDEBOSCH Toon,CRELAN-CORENDON,BEL,1999
VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2000
VANTHOURENHOUT Michael,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,1993
VERRIER Tristan,—,FRA,2003
VERSTRYNGE Emiel,CRELAN-CORENDON,BEL,2002
WYSEURE Joran,CRELAN-CORENDON,BEL,2001
ZAERA GISBERT Javier,—,ESP,2003
ZAKRAJSEK Dylan,COMPETITIVE EDGE RACING,USA,2003
