Name,Team,Nationality,YOB
ALVARADO Ceylin,FENIX-DECEUNINCK,NED,1998
ASELTINE Mia,COMPETITIVE EDGE RACING,USA,2004
BAELE Lotte,DE CEUSTER-BOUWPUNT,BEL,2003
BAKKER Manon,CRELAN-CORENDON,NED,1999
BENTVELD Leonie,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,NED,2004
BETSEMA Denise,DE CEUSTER - BOUWPUNT,NED,1993
BORELLO Carlotta,—,ITA,2002
BRAMATI Lucia,FAS AIRPORT SERVICES - GUERCIOTTI,ITA,2003
BRAND Lucinda,BALOISE GLOWI LIONS,NED,1989
BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,BEL,2002
CARRIER Rafaelle,—,CAN,2007
CARRIO HERNANDEZ Luna,UNICAJA-GIJON,ESP,2007
CASASOLA Sara,CRELAN-CORENDON,ITA,1999
CLAUZEL Hélène,—,FRA,1998
CLAUZEL Perrine,SEBMOTOBIKES CX TEAM,FRA,1994
CRABBÉ Kiona,—,BEL,2001
CREES Xan,—,GBR,2000
CUETO VEGA Sara,UNICAJA - GIJON,ESP,1994
CUSACK Lidia,CXD TREK BIKES,USA,2007
DE BRUYCKERE Xenna,—,BEL,2005
DE RAEDEMAEKER Alexe,—,BEL,2006
DESPREZ Lison,—,FRA,2007
DOUDEROVÁ Katerina,—,CZE,2006
ESTERMANN Rebekka,—,SUI,1999
FOUQUENET Amandine,ARKEA-B&B HOTELS WOMAN,FRA,2001
GALLEZOT Electa,SEBMOTOBIKES CX TEAM,FRA,2004
GARNIER Noemie,SCOTT CREUSE OXYGENE GUERET,FRA,2001
GERY Célia,AS BIKE RACING/FRANCE LITERIE,FRA,2006
GLAUS Jana,—,SUI,2005
GONZALEZ BLANCO Alicia,NESTA - MMR CYLING TEAM,ESP,1995
GONZALEZ BLANCO Lucia,NESTA-MMR CYLING TEAM,ESP,1990
GUNSALUS Elizabeth,—,USA,2003
HARTOG Larissa,—,NED,2001
HEIGL Nadja,KTM SPADA POWERED BY BRENTA BRAKES,AUT,1996
HINZ Katharina,—,GER,1997
JIMENEZ VERA Y FRIAS Carla,—,ESP,2007
JOZKOWICZ Maja,—,POL,2006
KALIS Bloeme,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,NED,2006
KNOLL Nico,—,CAN,2007
LOPEZ BURGOS Ana,—,ESP,2007
MCGILL Sidney,—,CAN,1999
MICHELS Friederike,RADSPORT NAGEL CX TEAM,GER,2006
MOLENGRAAF Lauren,CHARLES LIÉGEOIS ROASTERY CX,NED,2005
MOORS Fleur,BALOISE GLOWI LIONS,BEL,2005
MULLER Amandine,AS BIKE RACING/FRANCE LITERIE,FRA,2006
NIELSEN Mille,—,DEN,2007
NORBERT RIBEROLLE Marion,CRELAN-CORENDON,BEL,1999
PANUŠOVÁ Anna,BRILON RACING TEAM MB,CZE,2006
PAUL Stefanie,—,GER,1986
PEETERS Jinse,DE CEUSTER - BOUWPUNT,BEL,1999
PIETERSE Puck,FENIX-DECEUNINCK,NED,2002
RODRIGUEZ REVERT Sofia,NESTA - MMR CYLING TEAM,ESP,1999
SARKISOV Alyssa,CXD TREK BIKES,USA,2007
SCHREIBER Marie,TEAM SD WORX - PROTIME,LUX,2003
SECCHI Giorgia,—,ITA,2004
SEYNAVE Ilken,DESCHACHT-HENS CX TEAM,BEL,2006
SHIELDS Emily,—,USA,1993
SONNEMANN Lyllie,CXD TREK BIKES,USA,2007
STERN Léa,—,SUI,2001
VAN ALPHEN Aniek,SEVEN RACING,NED,1999
VAN ANROOIJ Shirin,BALOISE GLOWI LIONS,NED,2002
VAN DE STEENE Kim,—,BEL,1986
VAN DER HEIJDEN Inge,CRELAN-CORENDON,NED,1999
VERDONSCHOT Laura,DE CEUSTER - BOUWPUNT,BEL,1996
VERKERK Katja,CYNISCA CYCLING,CAN,2003
VERVLOET Sterre,DESCHACHT-HENS CX TEAM,BEL,2003
WENZEL Liv,SEBMOTOBIKES CX TEAM,LUX,2004
WINDELBAND Tomke,—,GER,2006
WORST Annemarie,SEVEN RACING,NED,1995
ZEMANOVÁ Kristýna,—,CZE,2003
ZOERNER Lauren,COMPETITIVE EDGE RACING,USA,2003
NIELSEN Mille,,DEN,2007
ZEMANOVÁ Kristýna,,CZE,2003
PANUŠOVÁ Anna,BRILON RACING TEAM MB,CZE,2006
HLADÍKOVÁ Katerina,BRILON RACING TEAM MB,CZE,2004
SEDLÁCKOVÁ Veronika,BRILON RACING TEAM MB,CZE,2007
CREES Xan,,GBR,2000
KAY Anna,VELOPRO-ALPHAMOTORHOMES,GBR,1999
STERN Léa,,SUI,2001
ESTERMANN Rebekka,,SUI,1999
NEFF Jolanda,CANNONDALE FACTORY RACING,SUI,1993
GLAUS Jana,,SUI,2005
SCHREIBER Marie,TEAM SD WORX-PROTIME,LUX,2003
BARTHELS Maïté,,LUX,2001
WENZEL Liv,SEBMOTOBIKES CX TEAM,LUX,2004
BARTHELS Layla,,LUX,2004
BERTON Nina,EF EDUCATION-EASYPOST-OATLY,LUX,2001
