Name,NAT,Club,
VAN DER POEL Mathieu,NED,ALPECIN-DECEUNINCK,
AERTS Toon,BEL,DESCHACHT-HENS CX TEAM,
NYS Thibau,BEL,BALOISE GLOWI LIONS,
VANDEPUTTE Niels,BEL,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,
SWEECK Laurens,BEL,CRELAN-CORENDON,
NIEUWENHUIS Joris,NED,RIDLEY RACING TEAM,
VAN DER HAAR Lars,NED,BALOISE GLOWI LIONS,
VAN AERT Wout,BEL,TEAM VISMA - LEASE A BIKE,
MASON Cameron,GBR,SEVEN RACING,
KAMP Ryan,NED,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,
VANDEBOSCH Toon,BEL,CRELAN-CORENDON,
MEIN Thomas,GBR,HOPE FACTORY RACING,
BERTOLINI Gioele,ITA,GUERCIOTTI,
MEEUSSEN Witse,BEL,CRELAN-CORENDON,
VAN DE PUTTE Victor,BEL,DESCHACHT-HENS CX TEAM,
CLARK Tyler,CAN,CALEDON HILLS ARMADA,
INGUANZO MACHO Gonzalo,ESP,DELIKIA-GINESTAR,
CEOLIN Federico,ITA,Bibione cycling team,
ODA Hijiri,JPN,YOWAMUSHI.PADEL.CT,
HORNY Clement,BEL,BH-WALLONIE MTB TEAM,
AGOSTINACCHIO Filippo,ITA,EF EDUCATION - EASYPOST OATLY,
FERDINANDE Anton,BEL,SHIFTING GEARS,
BETON Damien,FRA,Union Cycliste Pélussin,
JANSSEN Wout,BEL,CYCLIS - VAN DEN PLAS CYCLING TEAM,
HERRMANN Lukas,GER,HEIZOMAT RADTEAM,
LAURYSSEN Yorben,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT,
BARNES Daniel,GBR,SPECTRA RACING P/B DAS,
KUYPERS Gerben,BEL,CHARLES-LIÉGEOIS ROASTERY CX,
BETTENDORFF Loïc,LUX,LEOPARD PRO CYCLING,
FERRI Tommaso,ITA,FAS AIRPORT SERVICES GUERCIOTTI,
REMONDET Valentin,FRA,A.S. BIKE CROSSTEAM,
GAILLARD Florian,FRA,Issoire cyclisme,
ROSENDAHL Karl-Erik,DEN,Cykling Odense,
BATES Rhett,CAN,BROAD STREET OFF ROAD,
JUNGE Frederick,USA,BROOM WAGON WORKS,
SARGENT Liam,CAN,BROAD STREET,
DELNOIJE Remon,NED,TWC DE KEMPEN,
BRUYNSEELS Dries,SVK,CK Dukla Bratislava,
KAJI Tetsuki,JPN,OLANDA BASE/WATERSLEY,
LUKŠAS Dovydas,LTU,LITHUANIAN CX NATIONAL TEAM,
LEMBRECHTS Ruben,BEL,DLS INVIGO,
LEIN Lennart,GER,KED-Stevens Radteam Berlin des Berliner TSC e.V.,
SOETE Daan,BEL,RIDLEY RACING TEAM,
MEEUSEN Tom,BEL,CYCLIS - VAN DEN PLAS CYCLING TEAM,
OKAYAMA Yuta,JPN,OLANDA BASE/WATERSLEY,
SWADLING James,GBR,8POINT8 GROUP,
MAILLEFER Simon,SUI,VÉLO CLUB VEVEY,
GÓMEZ VEGA Marcos,ESP,BIERZO LACIANO CDC,
JELSPERGER Mathieu,FRA,Uc Haguenau,
CRISPIN Mickaël,FRA,CROSS TEAM LEGENDRE,
LEMARDELE Maxence,FRA,VC ST LO,
NICHVOLODOV Artur,UKR,IWG WAPI CYCLING TEAM,
DE VET Sander,BEL,TRUSTUP-CC CHEVIGNY,
LOETE Hippolyte,FRA,ES ARQUES CYCLISME,
BERCKMOES Jenno,BEL,LOTTO,
VAN DER VEEN Steyn,NED,DEVELOPMENT TEAM PICNIC POSTNL,
BRONSWIJK Mike,NED,DIFTAR CONTINENTAL CYCLINGTEAM,
GADEMAN Sam,NED,VOLKERWESSELS CYCLING TEAM,
SMITS Rune,BEL,CYCLIS - VAN DEN PLAS CYCLING TEAM,
CARDIJN Jorre,BEL,GMS CYCLING TEAM GLABBEEK,
ALVARADO Salvador,NED,WV ZEEUWS VLAANDEREN,
VICINI Tito,ITA,TEAM LA VERDE A.S.D.,
STORMS Miel,NED,TWC DE KEMPEN,
VAN DE MORTEL Sjoerd,NED,MTB CLUB DICOVERY,
BLANPAIN Kévin,FRA,CLUB CYCLIST,
NYSTROM SPENCER Felipe Timoteo,CRC,COSTA RICA TEAM,
LEZARD William,GBR,MAGSPEED RACING,
GARNIER Léo,SUI,TEAM PROF RAIFFEISEN CCL,
GARGANTINI Dario,ITA,CYCLING DEVELOPMENT,
VASNIER Dylan,FRA,U.C. MONTMEYRAN VALENCE,
JUTEL Paul François,FRA,Union Cycliste Du Mortainais,
OSKAM Maurits,NED,DUTCH FOOD VALLEY CYCLING TEAM,
