Name,NAT,Club,
NORBERT RIBEROLLE Marion,BEL,CRELAN-CORENDON,
BRAND Lucinda,NED,BALOISE GLOWI LIONS,
BAKKER Manon,NED,CRELAN-CORENDON,
ALVARADO Ceylin Del Carmen,NED,FENIX-DECEUNINCK,
BROUWERS Julie,BEL,CHARLES-LIÉGEOIS ROASTERY CX,
BACKSTEDT Zoe,GBR,CANYON//SRAM RACING,
ZEMANOVÁ Kristýna,CZE,BRILON RACING TEAM MB,
SCHREIBER Marie,LUX,TEAM SDWORX - PROTIME,
BRAMATI Lucia,ITA,STARCASINO CX TEAM,
VERDONSCHOT Laura,BEL,DE CEUSTER - BOUWPUNT,
GARIBOLDI Rebecca,ITA,ALE COLNAGO TEAM,
MOLENGRAAF Lauren,NED,CHARLES-LIÉGEOIS ROASTERY CX,
HARTOG Larissa,NED,ORANGE BABIES CYCLING TEAM,
CREES Xan,GBR,OGT POWERED BY USE,
CHLADOŇOVÁ Viktória,SVK,VISMA LEASE A BIKE,
FERRI Elisa,ITA,FAS AIRPORT SERVICES GUERCIOTTI,
STERN Léa,SUI,LYON SPRINT EVOLUTION,
HURTELOUP Adèle,FRA,VELOPRO-ALPHAMOTORHOMES,
DE SCHOESITTER Shanyl,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,
BRUCHNER Regina,HUN,VESZPREMI EGYETEMI SPORT CLUB,
LISBYGD Ann-Dorthe,DEN,DANSK MOUNTAINBIKE KLUB,
BARTHELS Maïté,LUX,CT ATERTDAUL,
VAN SINAEY Xaydee,BEL,CRELAN-CORENDON,
WONG Esther,IRL,SHIBDEN CYCLING CLUB,
PETITGIRARD Marlène,FRA,VC ORNANS,
LOPEZ BURGOS Ana,ESP,OSCENSE C.C.,
KRAHL Judith,GER,HEIZOMAT RADTEAM P/B HERRMANN,
MOES Noï,NED,WV SCHIJNDEL,
SHIELDS Emily,USA,KEN´S BIKE SHOP-,
NIELSEN Mille,DEN,WILLING ABLE RACING,
LAURIJSSEN Sanne,BEL,CRELAN-CORENDON,
DE BEER Jamie,NED,TWC HET SNELLE WIEL BESTRONICS,
EYEINGTON Kacey,GBR,SCOTT PIONEER DJ,
DEVIGNE Camille,FRA,O´SHEA RACING,
SONNEMANS Sara,NED,WV SCHIJNDEL,
INGLIS Hope,GBR,SPECTRA RACING P/B DAS,
MOS Anniek,NED,BANKHUIS,
SELS Loes,BEL,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,
BAELE Lotte,BEL,DE CEUSTER - BOUWPUNT,
KELLY Siobhan,CAN,BLACK DOG RACING,
COPPENS Nette,BEL,DE CEUSTER-ACROG,
TRUYEN Marthe,BEL,FENIX-DECEUNINCK,
DEFOUR Lara,BEL,CYCLING TEAM JADE - LDL,
DENK Rosalie,AUT,RC ARBÖ SPARKASSE PERNITZ,
INGLIS Grace,GBR,N/A,
COLLING Alice,GBR,SMURFIT WESTROCK CYCLING TEAM,
WHITESIDE Freya,IRL,NOUVELLES CYCLING X PRENDAS,
SEYNAVE Ilken,BEL,DESCHACHT-HENS CX TEAM,
VIKOVÁ Hanka,CZE,TEAM DUKLA PRAHA,
WINDELBAND Tomke,GER,HARVESTEHUDER RSV V. 1909,
PERSSON Thea,SWE,KVÄNUM IF,
HOEFMANS Pem,NED,DE CEUSTER-ACROG,
DE RAEDEMAEKER Alexe,BEL,ESSEC CYCLING TEAM,
KASTELIJN Yara,NED,CRELAN-FRISTADS,
STEFFENHAGEN Diana,GER,RSV SEEHEIM 1971,
PATTERSON Anna,GBR,IGNITE,
CORABOEUF Lea,FRA,AC LANESTER 56,
ROSSNER Larissa,SUI,VC ESCHENBACH,
PERRYMAN Amy,GBR,INDIVIDUAL,
PFEIL Julia-Katharina,GER,HARVESTEHUDER RV,
COOPER Madeline,GBR,MONTEZUMA´S RT,
BOND Jorja,USA,CCB P/B LEVINE LAW GROUP,
LAVENS Johanna,FRA,TEAM CROSS TECHNO CONCEPT URBALOC,
JIMENEZ VERA Y FRIAS Carla,ESP,CDF LAS LINDES,
KNIJNENBURG Anne,NED,VOLKER WESSELS CYCLING TEAM,
VAN ELSACKER Floor,BEL,ACROG-TORMANS,
SCHOLLAERT Shanaya Esther,BEL,BALOISE MINIMAX WB LADIES,
DE BRUYNE Meg,BEL,SUPER HELP - EVIL EYE,
BAS Selena,NED,ACROG-TORMANS,
WILLEMS Meadow,NED,OLANDA BASE/WATERSLEY,
VAN ROOIJEN Anne,NED,VOLKERWESSELS CYCLING TEAM,
VON BERSWORDT Sophie,NED,TEAM VISMA LEASE A BIKE WOMEN,
ROMBOUTS Tine,BEL,INDIVIDUEEL,
POLFLIET Alana,BEL,NEVER GIVE UP BY JOLIEN VERSCHUEREN,
ZWAENEPOEL Tessa,BEL,INDIVIDUEEL,
KOOREMANS Britt,BEL,KEUKENS REDANT CYCLING TEAM,
MENANT Yulizh,FRA,EC LANDERNEAU,
GADEMAN Sera,NED,TEAM BIKE EMOTIONS,
ADAM Lucie,FRA,TEAM JMCX,
LENFERINK Femke,NED,AWV DE ZWALUWEN,
YANNIC Tifenn,FRA,EC LANDERNEAU,
VAN DER MEULEN Julia,NED,AWV DE ZWALUWEN,
LISSAMAN Florence,GBR,UONRT,
WILEY Esme,GBR,LONDON ACADEMY,
HUIJBREGTS Hilde,NED,WV BREDA,
TRITZ Mathilde,FRA,CLUB DES SPORTS - CHAMONIX,
