Name,Nat,Team,
VAN DER POEL Mathieu,NED,ALPECIN-DECEUNINCK 1,
AERTS Toon,BEL,DESCHACHT-HENS CX TEAM 2,
NYS Thibau,BEL,BALOISE GLOWI LIONS 3,
VANTHOURENHOUT Michael,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT 4,
VANDEPUTTE Niels,BEL,ALPECIN-DECEUNINCK DEVELOPMENT TEAM 5,
NIEUWENHUIS Joris,NED,RIDLEY RACING TEAM 6,
SWEECK Laurens,BEL,CRELAN-CORENDON 7,
VAN DER HAAR Lars,NED,BALOISE GLOWI LIONS 8,
MASON Cameron,GBR,SEVEN RACING 9,
KAMP Ryan,NED,ALPECIN-DECEUNINCK DEVELOPMENT TEAM 10,
VAN AERT Wout,BEL,TEAM VISMA - LEASE A BIKE 11,
VANDEBOSCH Toon,BEL,CRELAN-CORENDON 12,
BERTOLINI Gioele,ITA,GUERCIOTTI 13,
MEEUSSEN Witse,BEL,CRELAN-CORENDON 14,
VAN DE PUTTE Victor,BEL,DESCHACHT-HENS CX TEAM 15,
INGUANZO MACHO Gonzalo,ESP,DELIKIA-GINESTAR 16,
SUAREZ FERNANDEZ Kevin,ESP,NESTA-MMR CX TEAM 17,
GROSLAMBERT Martin,FRA,VCORNANS 18,
HORNY Clement,BEL,BH-WALLONIE MTB TEAM 19,
JANSSEN Wout,BEL,CYCLIS-VAN DEN PLAS CYCLING TEAM 20,
LAURYSSEN Yorben,BEL,PAUWELS SAUZEN-ALTEZ INDUSTRIEBOUW CT 21,
MARASCO Lorenzo,FRA,SEBMOTOBIKES CX TEAM 22,
KUYPERS Gerben,BEL,CHARLES-LIÉGEOIS ROASTERY CX 23,
ROSENDAHL Karl-Erik,DEN,CYKLING ODENSE 24,
HAMM Florian,GER,RSV GARCHING 25,
GASSNER Michael,GER,RSV MOOSBURG 26,
JUNGE Frederick,USA,BROOM WAGON WORKS 27,
JANSE Stef,BEL,YOUNG CYCLING TALENT D&D 28,
KAJI Tetsuki,JPN,OLANDA BASE/WATERSLEY 29,
LUKŠAS Dovydas,LTU,LITHUANIAN CX NATIONAL TEAM 30,
SOETE Daan,BEL,RIDLEY RACING TEAM 31,
BAERS Arne,BEL,LOTTO DEVELOPMENT TEAM 32,
MEEUSEN Tom,BEL,CYCLIS-VAN DEN PLAS CYCLING TEAM 33,
SOONTJENS Arthur,BEL,CYCLIS-VAN DEN PLAS CYCLING TEAM 34,
OKAYAMA Yuta,JPN,OLANDA BASE/WATERSLEY 35,
SAVIGNARD Mael,FRA,VELO SPRINT ANOULD 36,
DE VET Sander,BEL,TRUSTUP-CC CHEVIGNY 37,
NICHVOLODOV Artur,UKR,IWG WAPI CYCLING TEAM 38,
GÓMEZ VEGA Marcos,ESP,BIERZO LACIANO CDC 39,
VERHEYEN Thomas,BEL,RB ZELFBOUW UCT 40,
LEZARD William,GBR,MAGSPEED RACING 41,
CRAPPER Thomas,GBR,MEGSPEED RACING 42,
ERRENS Sam,NED,MTB CLUB DISCOVERY 43,
CLARYSSE Elio,BEL,C.T. KEUKENS BUYSSE KNESSELARE VZW 44,
NYSTROM SPENCER Felipe Timoteo,CRC,COSTA RICA TEAM 45,
STORMS Miel,NED,WCL-BERGKLIMMERS 46,
MERTENS Jonas,BEL,T&T MTB RACING TEAM 47,
