Name,Nat,Team,
BRAND Lucinda,NED,BALOISE GLOWI LIONS 48,
BAKKER Manon,NED,CRELAN-CORENDON 49,
ALVARADO Ceylin del Carmen,NED,FENIX-DECEUNINCK 50,
BROUWERS Julie,BEL,CHARLES-LIÉGEOIS ROASTERY CX 51,
BORELLO Carlotta,ITA,ASD DP66 52,
GARIBOLDI Rebecca,ITA,ALE COLNAGO TEAM 53,
VERDONSCHOT Laura,BEL,DE CEUSTER - BOUWPUNT 54,
CRABBÉ Kiona,BEL,LOTTO-X-OATS ATHLETES FOR HOPE 55,
CLAUZEL Perrine,FRA,SEBMOTOBIKES CX TEAM 56,
DESPREZ Lison,FRA,ACT CYCLING 57,
VERVLOET Sterre,BEL,DESCHACHT-HENS CX TEAM 58,
VAN ANROOIJ Shirin,NED,BALOISE TREK LIONS 59,
HURTELOUP Adèle,FRA,VELOPRO-ALPHAMOTORHOMES 60,
BRUCHNER Regina,HUN,VESZPREMI EGYETEMI SPORT CLUB 61,
DE SCHOESITTER Shanyl,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CT 62,
MOES ΝΟΪ,NED,WV SCHIJNDEL 63,
HLADÍKOVÁ Kateřina,CZE,BRILON RACING TEAM 64,
KRAHL Judith,GER,HEIZOMAT RADTEAM P/B HERRMANN 65,
NIEUWENHUIS Rianne,NED,CC PAVÉ 76 66,
SHIELDS Emily,USA,KEN'S BIKE SHOP- 67,
VERKERK Katja,CAN,CYNISCA CYCLING 68,
BURQUIER Line,FRA,A.S BIKE CROSSTEAM 69,
LAURIJSSEN Sanne,BEL,CRELAN-CORENDON 70,
SONNEMANS Sara,NED,WV SCHIJNDEL 71,
LANGENBARG Puck,NED,FENIX DECEUNINCK DEVELOPMENT TEAM 72,
VAXILLAIRE Nolwenn,FRA,S.C.OLYMPIQUE DE DIJON 73,
MOS Anniek,NED,BANKHUIS 74,
SELS Loes,BEL,VELOPRO-EGS GROUP-ALPHAMOTORHOMES 75,
DURAFFOURG Lauriane,FRA,A.S BIKE CROSSTEAM 76,
TAMBOSCO Ilaria,ITA,S.S.SANFIORESE 77,
SECCHI Giorgia,ITA,ASD WOMEN CYCLING PROJECT 78,
SANTIN Gaia,ITA,VELO CLUB SAN VENDEMIANO 79,
DEFOUR Lara,BEL,CYCLING TEAM JADE - LDL 80,
VIKOVÁ Hanka,CZE,TEAM DUKLA PRAHA 81,
DETILLEUX Emeline,BEL,SCOTT CREUSE OXYGÈNE GUERET 82,
ZANGA Marta,ITA,KTM SPADA POWERED BY BRENTA BRAKES 83,
PAUL Stefanie,GER,RSG HANNOVER 84,
INGLIS Grace,GBR,INDIVIDUAL 85,
SCHÄTTI Michelle,SUI,VC WÄDENSWIL 86,
DE RAEDEMAEKER Alexe,BEL,ESSEC CYCLING TEAM 87,
STEFFENHAGEN Diana,GER,RSV SEEHEIM 1971 88,
DELCOMMUNE Juline,BEL,TEAM WILINK BRUSSELS CYCLING 89,
ROSSNER Larissa,SUI,VC ESCHENBACH 90,
CASASOLA Nadia,ITA,BANDIZIOL CYCLING TEAM 91,
MICHELS Friederike,GER,TUSPO WEENDE 92,
JOZKOWICZ Maja,POL,K.S. KLIF CHLAPOWO 93,
CERMANOVÁ Antonie,CZE,BALOISE MINIMAX WB LADIES 94,
VILLAR THIERY Faustine,FRA,EC CHATEAU THIERRY 95,
PFEIL Julia-Katharina,GER,HARVESTEHUDER RV 96,
SCHAMPAERT Lien,BEL,GOLAZO YOUNG LIONS 97,
SEDLÁČKOVÁ Veronika,CZE,BRILON RACING TEAM MB 98,
KNIJNENBURG Anne,NED,VOLKER WESSELS CYCLING TEAM 99,
VAN ELSACKER Floor,BEL,ACROG-TORMANS 100,
SCHOLLAERT Shanaya Esther,BEL,BALOISE MINIMAX WB LADIES 101,
DALL' ANTONIA Emma,ITA,VELO CLUB SAN VENDEΜΙΑΝΟ 102,
DE BRUYNE Meg,BEL,SUPER HELP - EVIL EYE 103,
JIMENEZ VERA Y FRIAS Carla,ESP,CDF LAS LINDES 104,
SCHEVENELS Lies'L,BEL,ESSEC CYCLING TEAM 105,
BAS Selena,NED,ACROG-TORMANS 106,
DEWAELE Yelena,BEL,GOLAZO YOUNG LIONS 107,
DE CUYPER Emily,BEL,SUPER HELP - EVIL EYE 108,
CROUX Bieke,BEL,RK CYCLING TEAM 109,
GADEMAN Sera,NED,TEAM BIKE EMOTIONS 110,
ZWAENEPOEL Tessa,BEL,INDIVIDUEEL 111,
WILLEMS Meadow,NED,OLANDA BASE/WATERSLEY 112,
POLFLIET Alana,BEL,NEVER GIVE UP BY JOLIEN VERSCHUEREN 113,
HUYBRECHTS Laure,BEL,ESSEC CYCLING TEAM 114,
DEBAELE Elena,BEL,GOLAZO YOUNG LIONS 115,
ROMBOUTS Tine,BEL,INDIVIDUEEL 116,
HINZ Katharina Julia,GER,GROSSLADEN FIDLOCK RACING 117,
LENFERINK Femke,NED,AWV DE ZWALUWEN 118,
