Name,Team,Nationality,YOB
VAN DER POEL Mathieu,ALPECIN-DECEUNINCK,NED,1995
NIEUWENHUIS Joris,RIDLEY RACING TEAM,NED,1996
VAN DER HAAR Lars,BALOISE GLOWI LIONS,NED,1991
RONHAAR Pim,BALOISE GLOWI LIONS,NED,2001
DEL GROSSO Tibor,ALPECIN-DECEUNINCK,NED,2003
KAMP Ryan,,NED,2000
HENDRIKX Mees,HEIZOMAT - CUBE,NED,2000
HAVERDINGS David,BALOISE GLOWI LIONS,NED,2004
VAN LIEROP Danny,,NED,2003
REMIJN Senna,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,NED,2006
SOLEN Keije,CHARLES LIÉGEOIS ROASTERY CX,NED,2006
JOCHEMS Jelte,,NED,2005
RIJVERS Max,,NED,2006
VANTHOURENHOUT Michael,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,1993
NYS Thibau,BALOISE GLOWI LIONS,BEL,2002
AERTS Toon,DESCHACHT-HENS CX TEAM,BEL,1993
VANDEPUTTE Niels,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2000
SWEECK Laurens,CRELAN-CORENDON,BEL,1993
VERSTRYNGE Emiel,CRELAN-CORENDON,BEL,2002
WYSEURE Joran,CRELAN-CORENDON,BEL,2001
MICHELS Jente,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,BEL,2003
VANDEBOSCH Toon,CRELAN-CORENDON,BEL,1999
DE BRUYCKERE Kay,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,2004
VAN DE PUTTE Victor,DESCHACHT-HENS CX TEAM,BEL,2002
MEEUSSEN Witse,CRELAN-CORENDON,BEL,2001
JANSSEN Wout,,BEL,2002
FERDINANDE Anton,,BEL,2000
JAMIN Antoine,BH-WALLONIE MTB TEAM,BEL,2005
MENUT David,AS BIKE RACING / FRANCE LITERIE,FRA,1992
BOMMENEL Nathan,ACT CYCLING,FRA,2003
GROSLAMBERT Martin,SEBMOTOBIKES CX TEAM,FRA,2002
THOMAS Théo,SEBMOTOBIKES CX TEAM,FRA,2001
LELANDAIS Rémi,ARKEA-B&B HOTELS CONTINENTALE,FRA,2002
ORTS LLORET Felipe,RIDLEY RACING TEAM,ESP,1995
JUNQUERA SAN MILLAN Mario,UNICAJA - GIJON,ESP,1997
KUHN Kevin,HEIZOMAT - CUBE,SUI,1998
SOMMER Lars,,SUI,2002
ROUILLER Loris,AS BIKE RACING / FRANCE LITERIE,SUI,2000
BARD Nicolas,,SUI,2000
MASON Cameron,SEVEN RACING,GBR,2000
MEIN Thomas,HOPE FACTORY RACING,GBR,1999
STROHMEYER Andrew,CXD TREK BIKES,USA,2002
JUNGE Frederick,,USA,1996
KING Carden,,USA,2005
WESTOVER Finn,,USA,2006
MILANOVIC Nikolas,,USA,2007
HARTER Luca,,GER,2002
HERRMANN Lukas,,GER,2001
KÖPSEL Jonas,RADSPORT NAGEL CX TEAM,GER,2002
KUSCHLA Silas,,GER,2004
OERTZEN Max Heiner,RADSPORT NAGEL CX TEAM,GER,2006
OBERTEICHER Matteo,PURE ENERGY DRINK / HARO BIKES BY COREGO,GER,2001
BATES Rhett,,CAN,2006
SARGENT Liam,,CAN,2004
VIEZZI Stefano,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,ITA,2006
AGOSTINACCHIO Mattia,EF EDUCATION - EASYPOST - OATLY,ITA,2007
AGOSTINACCHIO Filippo,EF EDUCATION - EASYPOST - OATLY,ITA,2003
BOROŠ Michael,ELKOV - KASPER,CZE,1992
GROENENDAAL Bailey,,DEN,2003
RISBERG David,,SWE,1999
AASTRUP Vilmar,,SWE,2007
PAPI Lennox,,LUX,2007
TURNER Jacob,,NZL,2003
