Name,Team,Nationality,YOB
BRAND Lucinda,BALOISE GLOWI LIONS,NED,1989
VAN DER HEIJDEN Inge,CRELAN-CORENDON,NED,1999
BAKKER Manon,CRELAN-CORENDON,NED,1999
PIETERSE Puck,FENIX-DECEUNINCK,NED,2002
VAN ALPHEN Aniek,SEVEN RACING,NED,1999
ALVARADO Ceylin,FENIX-DECEUNINCK,NED,1998
BENTVELD Leonie,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,NED,2004
BETSEMA Denise,DE CEUSTER - BOUWPUNT,NED,1993
WORST Annemarie,SEVEN RACING,NED,1995
HARTOG Larissa,,NED,2001
MOLENGRAAF Lauren,CHARLES LIÉGEOIS ROASTERY CX,NED,2005
CABACA Mae,HEIZOMAT - CUBE,NED,2007
MOS Anniek,,NED,2001
HOEFMANS Pem,,NED,2004
FOUQUENET Amandine,ARKEA - B&B HOTELS WOMAN,FRA,2001
CLAUZEL Hélène,,FRA,1998
GERY Célia,AS BIKE RACING / FRANCE LITERIE,FRA,2006
MULLER Amandine,AS BIKE RACING / FRANCE LITERIE,FRA,2006
GALLEZOT Electa,SEBMOTOBIKES CX TEAM,FRA,2004
CLAUZEL Perrine,SEBMOTOBIKES CX TEAM,FRA,1994
DURAFFOURG Lauriane,SCOTT CREUSE OXYGENE GUERET,FRA,2002
NORBERT RIBEROLLE Marion,CRELAN-CORENDON,BEL,1999
BROUWERS Julie,CHARLES LIÉGEOIS ROASTERY CX,BEL,2002
PEETERS Jinse,DE CEUSTER - BOUWPUNT,BEL,1999
CRABBÉ Kiona,,BEL,2001
VERVLOET Sterre,DESCHACHT-HENS CX TEAM,BEL,2003
DE SCHOESITTER Shanyl,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,BEL,2006
VAN DE STEENE Kim,,BEL,1986
DE BRUYCKERE Xenna,,BEL,2005
DETILLEUX Emeline,SCOTT CREUSE OXYGENE GUERET,BEL,1999
SEYNAVE Ilken,DESCHACHT-HENS CX TEAM,BEL,2006
DELCOMMUNE Juline,,BEL,2004
CASASOLA Sara,CRELAN-CORENDON,ITA,1999
BRAMATI Lucia,FAS AIRPORT SERVICES - GUERCIOTTI,ITA,2003
SECCHI Giorgia,,ITA,2004
CUETO VEGA Sara,UNICAJA - GIJON,ESP,1994
LOPEZ BURGOS Ana,,ESP,2007
CARRIO HERNANDEZ Luna,UNICAJA - GIJON,ESP,2007
MCGILL Sidney,,CAN,1999
ROCHETTE Maghalie,,CAN,1993
KNOLL Nico,,CAN,2007
PERRON Dorothee,,CAN,2006
CUSACK Lidia,CXD TREK BIKES,USA,2007
BUDDE Kaija,PURE ENERGY DRINK / HARO BIKES BY COREGO,GER,2006
DEHLER Viktoria,,GER,2002
LISBYGD Ann-Dorthe,,DEN,1984
ZEMANOVÁ Kristýna,,CZE,2003
CREES Xan,,GBR,2000
KAY Anna,VELOPRO-ALPHAMOTORHOMES,GBR,1999
DAY Elena,,GBR,2004
EYEINGTON Kacey,,GBR,2005
STERN Léa,,SUI,2001
ESTERMANN Rebekka,,SUI,1999
NEFF Jolanda,CANNONDALE FACTORY RACING,SUI,1993
BARTHELS Maïté,,LUX,2001
WENZEL Liv,SEBMOTOBIKES CX TEAM,LUX,2004
BARTHELS Layla,,LUX,2004
BERTON Nina,EF EDUCATION - EASYPOST - OATLY,LUX,2001
