Nr,Naam,Nat,Club,UCI Rank,YOB,WCS
2,NIEUWENHUIS Joris,NED,RIDLEY RACING TEAM,9,1996,4
3,RONHAAR Pim,NED,BALOISE GLOWI LIONS,12,2001,20
4,KAMP Ryan,NED,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,22,2000,9
5,HENDRIKX Mees,NED,HEIZOMAT - CUBE,23,2000,13
6,HAVERDINGS David,NED,BALOISE GLOWI LIONS,50,2004,
7,HAVERDINGS Floris,NED,,222,2006,
8,VANTHOURENHOUT Michael,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,1,1993,11
9,AERTS Toon,BEL,DESCHACHT-HENS CX TEAM,3,1993,10
10,VANDEPUTTE Niels,BEL,ALPECIN-DECEUNINCK DEVELOPMENT TEAM,4,2000,7
11,SWEECK Laurens,BEL,CRELAN-CORENDON,5,1993,2
12,WYSEURE Joran,BEL,CRELAN-CORENDON,10,2001,26
13,VANDEBOSCH Toon,BEL,CRELAN-CORENDON,26,1999,15
14,CORSUS Yordi,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,31,2005,
15,VAN DE PUTTE Victor,BEL,DESCHACHT-HENS CX TEAM,40,2002,16
16,MEEUSSEN Witse,BEL,CRELAN-CORENDON,44,2001,17
17,JANSSEN Wout,BEL,,124,2002,
18,VANDEN EYNDE Mats,BEL,BALOISE GLOWI LIONS,687,2007,
19,COURCIER Thomas,FRA,,220,2005,
20,GAILLARD Florian,FRA,,242,2001,
21,FREDERICK Ben,USA,,117,1989,
22,JUNGE Frederick,USA,,293,1996,
23,KING Carden,USA,,444,2005,
24,WESTOVER Finn,USA,,,2006,
25,HARTER Luca,GER,,90,2002,
26,BERTOLINI Gioele,ITA,ALE COLNAGO TEAM,27,1995,
27,CEOLIN Federico,ITA,FAS AIRPORT SERVICES - GUERCIOTTI,52,2000,
28,SCAPPINI Samuele,ITA,SAM - VITALCARE - DYNATEK,100,2005,
29,FOLCARELLI Antonio,ITA,,123,1998,
30,AGOSTINACCHIO Filippo,ITA,EF EDUCATION - EASYPOST - OATLY,170,2003,
31,FERRI Tommaso,ITA,FAS AIRPORT SERVICES - GUERCIOTTI,236,2004,
32,DE LONGHI Lorenzo,ITA,,345,2006,
33,ZANOLINI Alan,ITA,ALE COLNAGO TEAM,395,2005,
34,PARENTI Nicola,ITA,,447,1996,
35,CECCHI Filippo,ITA,,510,2002,
36,CAO Pietro,ITA,,566,2007,
37,VALENTINI Matteo,ITA,,582,2005,
38,BRAMATI Marco,ITA,TRINX FACTORY TEAM,,2006,
