Nr,Naam,Nat,Club,UCI Rank,YOB,WCS
2,BRAND Lucinda,NED,BALOISE GLOWI LIONS,1,1989,5
3,BAKKER Manon,NED,CRELAN-CORENDON,5,1999,8
4,ALVARADO Ceylin,NED,FENIX-DECEUNINCK,6,1998,14
5,VAN ALPHEN Aniek,NED,SEVEN RACING,9,1999,1
6,BENTVELD Leonie,NED,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,11,2004,4
7,BETSEMA Denise,NED,DE CEUSTER - BOUWPUNT,17,1993,11
8,WORST Annemarie,NED,SEVEN RACING,37,1995,19
9,MOLENGRAAF Lauren,NED,CHARLES LIEGEOIS ROASTERY CX,56,2005,30
10,VAN ANROOIJ Shirin,NED,BALOISE GLOWI LIONS,125,2002,10
11,HURTELOUP Adele,FRA,VELOPRO-EGS GROUP-ALPHAMOTORHOMES,94,2004,
12,NORBERT RIBEROLLE Marion,BEL,CRELAN-CORENDON,7,1999,6
13,BROUWERS Julie,BEL,CHARLES LIEGEOIS ROASTERY CX,15,2002,13
14,VERDONSCHOT Laura,BEL,DE CEUSTER - BOUWPUNT,33,1996,18
15,PEETERS Jinse,BEL,DE CEUSTER - BOUWPUNT,38,1999,
16,VERVLOET Sterre,BEL,DESCHACHT-HENS CX TEAM,82,2003,31
17,DE SCHOESITTER Shanyl,BEL,PAUWELS SAUZEN - ALTEZ INDUSTRIEBOUW CYCLING TEAM,103,2006,
18,CASASOLA Sara,ITA,CRELAN-CORENDON,12,1999,9
19,BORELLO Carlotta,ITA,,26,2002,
20,GARIBOLDI Rebecca,ITA,ALE COLNAGO TEAM,35,1996,
21,PELLIZOTTI Giorgia,ITA,TRINX FACTORY TEAM,36,2008,
22,BRAMATI Lucia,ITA,FAS AIRPORT SERVICES - GUERCIOTTI,45,2003,17
23,FERRI Elisa,ITA,FAS AIRPORT SERVICES - GUERCIOTTI,67,2007,
24,BIANCHI Elisa,ITA,,88,2008,
25,AZZETTI Nicole,ITA,,114,2008,
26,PERUTA Sara,ITA,,173,2009,
27,TAMBOSCO Ilaria,ITA,,393,2007,
28,SECCHI Giorgia,ITA,,404,2004,
29,FRANCESCHINI Emma,ITA,,640,2007,
30,MCGILL Sidney,CAN,,20,1999,28
31,MEGALE Anna,USA,COMPETITIVE EDGE RACING,40,1991,
32,SCHREIBER Marie,LUX,TEAM SD WORX - PROTIME,13,2003,
33,KABETAJ Nelia,ALB,ALE COLNAGO TEAM,122,2006,
